CVE,UPSTREAM G:A:V,DOWNSTREAM G:A:V,DOWNSTREAM REPO,COMMIT,COMMIT_DATE,COMMIT_DATE_ERROR,GITHUB_REPO_PARSED,COMMIT_SHA_PARSED,COMMIT_URL_PARSED
CVE-2019-3888,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/62be256827b5e22f7c66b1faf8f8193284614720,,404_not_found,networknt/light-oauth2,62be256827b5e22f7c66b1faf8f8193284614720,https://github.com/networknt/light-oauth2/commit/62be256827b5e22f7c66b1faf8f8193284614720
CVE-2019-3888,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/c6464e31c63a57cab041a300a1a80af8afea5e0a,,404_not_found,networknt/light-eventuate-4j,c6464e31c63a57cab041a300a1a80af8afea5e0a,https://github.com/networknt/light-eventuate-4j/commit/c6464e31c63a57cab041a300a1a80af8afea5e0a
CVE-2019-3888,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/62be256827b5e22f7c66b1faf8f8193284614720,,404_not_found,networknt/light-oauth2,62be256827b5e22f7c66b1faf8f8193284614720,https://github.com/networknt/light-oauth2/commit/62be256827b5e22f7c66b1faf8f8193284614720
CVE-2019-3888,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/c6464e31c63a57cab041a300a1a80af8afea5e0a,,404_not_found,networknt/light-eventuate-4j,c6464e31c63a57cab041a300a1a80af8afea5e0a,https://github.com/networknt/light-eventuate-4j/commit/c6464e31c63a57cab041a300a1a80af8afea5e0a
CVE-2017-12196,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
CVE-2017-12196,io.undertow:undertow-core,com.networknt:cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181,,404_not_found,networknt/light-eventuate-4j,9b88e486fb808da093f130105f7f1821d10ef181,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181
CVE-2017-12196,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
CVE-2017-12196,io.undertow:undertow-core,com.networknt:cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181,,404_not_found,networknt/light-eventuate-4j,9b88e486fb808da093f130105f7f1821d10ef181,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181
CVE-2019-0201,org.apache.zookeeper:zookeeper,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/5854e08b6f166e25e1c11740477269efa1fae1f7,,404_not_found,salesforce/Argus,5854e08b6f166e25e1c11740477269efa1fae1f7,https://github.com/salesforce/Argus/commit/5854e08b6f166e25e1c11740477269efa1fae1f7
CVE-2018-11039,org.springframework:spring-web,com.assist4j:assist4j-core,yuweihn/assist4j,https://github.com/yuweihn/assist4j/commit/6a4ea64a758d0cbf0274f3f6240360098c9a62f5,,404_not_found,yuweihn/assist4j,6a4ea64a758d0cbf0274f3f6240360098c9a62f5,https://github.com/yuweihn/assist4j/commit/6a4ea64a758d0cbf0274f3f6240360098c9a62f5
CVE-2016-9177,com.sparkjava:spark-core,com.indoqa:indoqa-boot,Indoqa/indoqa-boot,https://github.com/Indoqa/indoqa-boot/commit/35570ac5f4403874707950cc017e0d392c351e57,,404_not_found,Indoqa/indoqa-boot,35570ac5f4403874707950cc017e0d392c351e57,https://github.com/Indoqa/indoqa-boot/commit/35570ac5f4403874707950cc017e0d392c351e57
CVE-2014-0107,xalan:xalan,org.dhatim:milyn-smooks-example-model-driven-basic,dhatim/smooks,https://github.com/dhatim/smooks/commit/003cd6bb8c33d9d9154266f3d5d12fcb6c818130,,404_not_found,dhatim/smooks,003cd6bb8c33d9d9154266f3d5d12fcb6c818130,https://github.com/dhatim/smooks/commit/003cd6bb8c33d9d9154266f3d5d12fcb6c818130
CVE-2021-36090,org.apache.commons:commons-compress,com.milaboratory:milib,milaboratory/milib,https://github.com/milaboratory/milib/commit/0e29be1dd6d50c90b1ec7fd3ce9d4e74028c243b,,404_not_found,milaboratory/milib,0e29be1dd6d50c90b1ec7fd3ce9d4e74028c243b,https://github.com/milaboratory/milib/commit/0e29be1dd6d50c90b1ec7fd3ce9d4e74028c243b
CVE-2018-8012,org.apache.zookeeper:zookeeper,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/2ef1a73bc327b34013bb3fd323ab9fbe76146248,,404_not_found,salesforce/Argus,2ef1a73bc327b34013bb3fd323ab9fbe76146248,https://github.com/salesforce/Argus/commit/2ef1a73bc327b34013bb3fd323ab9fbe76146248
CVE-2018-8012,org.apache.zookeeper:zookeeper,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/2ef1a73bc327b34013bb3fd323ab9fbe76146248,,404_not_found,salesforce/Argus,2ef1a73bc327b34013bb3fd323ab9fbe76146248,https://github.com/salesforce/Argus/commit/2ef1a73bc327b34013bb3fd323ab9fbe76146248
CVE-2021-38153,org.apache.kafka:kafka-clients,com.jkoolcloud:tnt4j-kafka-sink,Nastel/TNT4J,https://github.com/Nastel/TNT4J/commit/94abb0602c3757f25235b8df88fdc093b07574c7,,404_not_found,Nastel/TNT4J,94abb0602c3757f25235b8df88fdc093b07574c7,https://github.com/Nastel/TNT4J/commit/94abb0602c3757f25235b8df88fdc093b07574c7
CVE-2020-1745,io.undertow:undertow-core,com.networknt:light-proxy,networknt/light-proxy,https://github.com/networknt/light-proxy/commit/b989c16a80cddd4cdb1d5da8247d5f4e154b2dc8,,404_not_found,networknt/light-proxy,b989c16a80cddd4cdb1d5da8247d5f4e154b2dc8,https://github.com/networknt/light-proxy/commit/b989c16a80cddd4cdb1d5da8247d5f4e154b2dc8
CVE-2020-1745,io.undertow:undertow-core,com.networknt:oauth2-authhub,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/85cb1712fc3419e512cbea703a1b7ddc83fcb05f,,404_not_found,networknt/light-oauth2,85cb1712fc3419e512cbea703a1b7ddc83fcb05f,https://github.com/networknt/light-oauth2/commit/85cb1712fc3419e512cbea703a1b7ddc83fcb05f
CVE-2020-1745,io.undertow:undertow-core,com.networknt:light-router,networknt/light-router,https://github.com/networknt/light-router/commit/4459a3688143ffe396318f492195686dc276ccf2,,404_not_found,networknt/light-router,4459a3688143ffe396318f492195686dc276ccf2,https://github.com/networknt/light-router/commit/4459a3688143ffe396318f492195686dc276ccf2
CVE-2021-28168,org.glassfish.jersey.core:jersey-common,com.numdata:numdata-jaxrs,Numdata/numdata-open,https://github.com/Numdata/numdata-open/commit/c61bc804d29fd97311f5c12e4ce2cbff9e55209c,,404_not_found,Numdata/numdata-open,c61bc804d29fd97311f5c12e4ce2cbff9e55209c,https://github.com/Numdata/numdata-open/commit/c61bc804d29fd97311f5c12e4ce2cbff9e55209c
CVE-2018-14642,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/20189486dcb6f9c6b147ae7e3c5d3a32246696fe,,404_not_found,networknt/light-eventuate-4j,20189486dcb6f9c6b147ae7e3c5d3a32246696fe,https://github.com/networknt/light-eventuate-4j/commit/20189486dcb6f9c6b147ae7e3c5d3a32246696fe
CVE-2018-14642,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/20189486dcb6f9c6b147ae7e3c5d3a32246696fe,,404_not_found,networknt/light-eventuate-4j,20189486dcb6f9c6b147ae7e3c5d3a32246696fe,https://github.com/networknt/light-eventuate-4j/commit/20189486dcb6f9c6b147ae7e3c5d3a32246696fe
CVE-2018-1114,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181,,404_not_found,networknt/light-eventuate-4j,9b88e486fb808da093f130105f7f1821d10ef181,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181
CVE-2018-1114,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
CVE-2018-1114,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181,,404_not_found,networknt/light-eventuate-4j,9b88e486fb808da093f130105f7f1821d10ef181,https://github.com/networknt/light-eventuate-4j/commit/9b88e486fb808da093f130105f7f1821d10ef181
CVE-2018-1114,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
CVE-2019-5427,com.mchange:c3p0,net.centro.rtb:monitoring-center,centro/monitoring-center,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58,,404_not_found,centro/monitoring-center,7524d36e5111fe42435a7fd29ba64b247b866b58,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58
CVE-2017-2670,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
