CVE_ID,Commit Message,Links in Message,Link Presence,PATCH
CVE-2013-4600,Fixed some XSS problems (github issue #173),https://github.com/alkacon/opencms-core/issues/173,contains links,https://github.com/alkacon/opencms-core/commit/72a05e3ea1cf692e2efce002687272e63f98c14a
CVE-2018-3831,"Apply settings filter to get cluster settings API (#33247)

Some settings have filters applied to them and we use this in logs and
the get nodes info API. For consistency, we should apply this in the get
cluster settings API too.",https://github.com/elastic/elasticsearch/pull/33247,contains links,https://github.com/elastic/elasticsearch/commit/cfe3d9f611a328cfffc18b445b3aecb016349514
CVE-2013-4310,"Changes archetypes version to match latest release

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_X@1532467 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_X@1532467,contains links,https://github.com/apache/struts/commit/0c8366cb792227d484b9ca13e537037dd0cb57dc
CVE-2018-1000615,"Fix for OS-12, NumberFormatException on badly formatted version string

Change-Id: I7d667b12bcc00e8a8135c367cb9463f266130d31",,no links,https://github.com/opennetworkinglab/onos/commit/1a783729a1d7e0cd59d59a8dd3a73cdd6ac0f30d
CVE-2022-23596,"fix: invalid subheader type would throw npe and make the extract loop

closes #73",https://github.com/junrar/junrar/issues/73,contains links,https://github.com/junrar/junrar/commit/7b16b3d90b91445fd6af0adfed22c07413d4fab7
CVE-2021-39154,Switch to whitelist by default.,,no links,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c
CVE-2019-16943,More clean up after #2478,https://github.com/FasterXML/jackson-databind/issues/2478,contains links,https://github.com/FasterXML/jackson-databind/commit/54aa38d87dcffa5ccc23e64922e9536c82c1b9c8
CVE-2012-0838,"WW-3668 - Vulnerability: User input is evaluated as an OGNL expression when there's a conversion error

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/trunk@1157009 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/trunk@1157009,contains links,https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892;https://github.com/apache/struts/commit/5f54b8d087f5125d96838aafa5f64c2190e6885b
CVE-2020-26217,Fix for CVE-2017-9805.,,contains links,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a
CVE-2020-24301,not found,,no links,https://github.com/jamesagnew/hapi-fhir/commit/adb3734fcbbf9a9165445e9ee5eef168dbcaedaf
CVE-2021-37714,"Speed improvement: cap number of cloned active formatting elements

Also saves on memory allocations for empty attribute lists.

Fixes #1613",https://github.com/jhy/jsoup/issues/1613,contains links,https://github.com/jhy/jsoup/commit/d2c455c94a3aaaca29d8cec6bd53ee9824622b51
CVE-2019-3888,"[UNDERTOW-1515] HttpServerExchange.toString does not include headers

This reverts commit 51144633f22ba0e73ee1f435db72025720395797.",,contains links,https://github.com/undertow-io/undertow/commit/20cacc96c0594f4f4f9bb1cc2b93a77b6be3f74c;https://github.com/undertow-io/undertow/commit/9bf05b765e222dd106fee9b46314061b18b7275e
CVE-2021-44832,Refactor to reuse existing code.,,no links,https://github.com/apache/logging-log4j2/commit/05db5f9527254632b59aed2a1d78a32c5ab74f16
CVE-2019-17569,"Correct a regression in transfer-encoding parsing

Invalid tokens are an error",,no links,https://github.com/apache/tomcat/commit/b191a0d
CVE-2020-9492,"SPNEGO TLS verification

Signed-off-by: Akira Ajisaka <aajisaka@apache.org>
(cherry picked from commit ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7)

 Conflicts:
	hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/web/WebHdfsFileSystem.java",,contains links,https://github.com/apache/hadoop/commit/28715b584ab25dedc600cc2d5d22866865026bf7
CVE-2017-12626,not found,,contains links,https://github.com/apache/poi/commit/cd6236c74b55763a27e3e9b5f269c28bc9c98419;https://github.com/apache/poi/commit/c7db66a30dfb6cbbd5812ff3ae4c90ed2d9b9a27;https://github.com/apache/poi/commit/a07ed9e86474da98f204efadfd5b9327009a0d21;https://github.com/apache/poi/commit/df3910135fd9c442b4e746e4b156362fd2e8d755
CVE-2021-25329,Use java.nio.file.Path for consistent sub-directory checking,,no links,https://github.com/apache/tomcat/commit/6d66e99ef85da93e4d2c2a536ca51aa3418bfaf4
CVE-2020-36282,"Use trusted packages in StreamMessage

StreamMessage now uses the same ""white list"" mechanism as
ObjectMessage to avoid some arbitrary code execution on deserialization.

Even though StreamMessage is supposed to handle only primitive types,
it is still to possible to send a message that contains an arbitrary
serializable instance. The consuming application application may
then execute code from this class on deserialization.

The fix consists in using the list of trusted packages that can be
set at the connection factory level.

Fixes #135",https://github.com/rabbitmq/rabbitmq-jms-client/issues/135,contains links,https://github.com/rabbitmq/rabbitmq-jms-client/commit/f647e5dbfe055a2ca8cbb16dd70f9d50d888b638
CVE-2017-15693,"GEODE-3923 Provide whitelist/blacklist capability for java serialization

This is a squashed and rebased commit of the work from the now-defunct
whitelist-wip branch.  The work allows you to whitelist and blacklist
use of Java deserialization for classes matching a pattern you provide.

All distributedTests are now run with this enabled and with the default
blacklist pattern of ""!*"", which blacklists everything not explicitely
allowed by Geode in the sanctionedSerializables.txt files or by your test.

Each layer needing one now has its own sanctionedSerializables.txt file
that is a resource in the product tree.  These are installed as whitelists
by a new DistributedSystemService in that layer.

There are numerous examples of whitelisting classes in the tests.

If you do not whitelist your class Geode will throw an IncompatibleClassException.
If you happen to run into this look in your logs for ""rejecting"" and you
can easily find the name of the offending class and add it to your
whitelist.

Two new cache properties have been added:

  validate-serializable-objects

If true checks incoming java serializable objects against a filter (allows
internal Geode classes and any others provided in the
serializable-object-filter property).

If you enable this property you must be using Java 8 build 121 or later.
If you are not Geode will throw an exception and refuse to start.

Default: ""false""

  serializable-object-filter

A user provided whitelist of objects that the system will allow to serialize.
See java.io.ObjectInputFilter.Config for details on the syntax for creating filters.

https://docs.oracle.com/javase/9/docs/api/java/io/ObjectInputFilter.Config.html

Default: ""!*""

In addition, this work includes these significant contributions:

commit 731ac2b4206615fb6bdaa54db371c7f8b7956fd4
Author: Galen O'Sullivan <gosullivan@pivotal.io>
Date:   Wed Nov 15 10:55:23 2017 -0800

    [edited message] Allow Geode to run with older versions of Java 8
    when serialization filtering is not enabled.

    and achieve this by moving references to ObjectInputFilter out of
    InternalDataSerializer.

    Signed-off-by: Dan Smith <dsmith@pivotal.io>

commit 3329467308bbfaaf0cc30db678474894132e5f62
Author: Dan Smith <upthewaterspout@apache.org>
Date:   Thu Nov 2 13:22:42 2017 -0700

    Adding an option to run tests with a different JVM

commit a480931fa3b7e973f9076a063238c75d0b51146b
Author: Bruce Schuchardt <bschuchardt@pivotal.io>
Date:   Fri Nov 10 15:46:11 2017 -0800

    whitelist WIP

    Turned on validation by default for dunit tests and fixed issues this caused.
    Several tests now set a custom whitelist.

commit 026ae92fe2055c09762978696d53d9cd2679bd60
Author: Galen O'Sullivan <gosullivan@pivotal.io>
Date:   Thu Nov 9 17:02:56 2017 -0800

    Adding configuration parameters to toggle whitelist behavior of serializable classes.

    Open question about removing DataCommandRequest.java toData and fromData

    Signed-off-by: Brian Rowe <browe@pivotal.io>",https://docs.oracle.com/javase/9/docs/api/java/io/ObjectInputFilter.Config.html,contains links,https://github.com/apache/geode/commit/a2bd5788d0b0728d91d551ddaac878b336d7892a
