CVE_ID,Published Date
CVE-2013-4600,08/09/2013
CVE-2018-3831,09/19/2018
CVE-2013-4310,09/30/2013
CVE-2018-1000615,07/09/2018
CVE-2022-23596,02/01/2022
CVE-2021-39154,08/23/2021
CVE-2019-16943,10/01/2019
CVE-2012-0838,03/02/2012
CVE-2020-26217,11/16/2020
CVE-2020-24301,10/08/2020
CVE-2021-37714,08/18/2021
CVE-2019-3888,06/12/2019
CVE-2021-44832,12/28/2021
CVE-2019-17569,02/24/2020
CVE-2020-9492,01/26/2021
CVE-2017-12626,01/29/2018
CVE-2021-25329,03/01/2021
CVE-2020-36282,03/11/2021
CVE-2017-15693,02/27/2018
CVE-2014-0050,04/01/2014
CVE-2020-11996,06/26/2020
CVE-2018-1339,04/25/2018
CVE-2017-12196,04/17/2018
CVE-2017-15696,02/25/2018
CVE-2020-25711,12/03/2020
CVE-2016-1182,07/04/2016
CVE-2012-4386,09/05/2012
CVE-2013-4322,02/26/2014
CVE-2017-15713,01/19/2018
CVE-2019-17572,05/14/2020
CVE-2016-2510,04/07/2016
CVE-2016-4977,05/25/2017
CVE-2011-2481,08/15/2011
CVE-2021-20218,03/16/2021
CVE-2021-22569,01/10/2022
CVE-2017-3589,04/24/2017
CVE-2011-5064,01/14/2012
CVE-2020-7226,01/24/2020
CVE-2016-5001,08/30/2017
CVE-2016-0793,04/01/2016
CVE-2021-44878,01/06/2022
CVE-2014-4172,01/24/2020
CVE-2019-12399,01/14/2020
CVE-2011-4461,12/29/2011
CVE-2018-1000822,12/20/2018
CVE-2021-29451,04/16/2021
CVE-2021-27906,03/19/2021
CVE-2017-15695,06/13/2018
CVE-2013-4316,09/30/2013
CVE-2021-43797,12/09/2021
CVE-2020-17516,02/03/2021
CVE-2019-0201,05/23/2019
CVE-2019-3802,06/03/2019
CVE-2016-1000339,06/04/2018
CVE-2011-0013,02/18/2011
CVE-2011-1498,07/07/2011
CVE-2020-10686,05/04/2020
CVE-2018-9116,03/29/2018
CVE-2013-4390,10/23/2013
CVE-2020-1951,03/23/2020
CVE-2021-21343,03/22/2021
CVE-2013-5823,10/16/2013
CVE-2018-1000854,12/20/2018
CVE-2016-8749,03/28/2017
CVE-2014-3490,08/19/2014
CVE-2022-26336,03/04/2022
CVE-2012-6612,12/07/2013
CVE-2017-12629,10/14/2017
CVE-2020-5230,01/30/2020
CVE-2014-3709,10/18/2017
CVE-2020-9486,10/01/2020
CVE-2017-5651,04/17/2017
CVE-2016-2141,06/30/2016
CVE-2017-9735,06/16/2017
CVE-2018-1999020,07/23/2018
CVE-2018-1000008,01/23/2018
CVE-2020-27178,10/16/2020
CVE-2014-0096,05/31/2014
CVE-2020-13941,08/17/2020
CVE-2021-25122,03/01/2021
CVE-2020-13940,10/01/2020
CVE-2018-11765,09/30/2020
CVE-2021-42575,10/18/2021
CVE-2019-12086,05/17/2019
CVE-2017-7525,02/06/2018
CVE-2020-17523,02/03/2021
CVE-2018-11039,06/25/2018
CVE-2013-2134,07/16/2013
CVE-2020-1954,04/01/2020
CVE-2017-4995,11/27/2017
CVE-2019-13237,08/27/2019
CVE-2019-0207,09/16/2019
CVE-2013-1768,07/11/2013
CVE-2017-7657,06/26/2018
CVE-2020-8570,01/21/2021
CVE-2011-4905,01/05/2012
CVE-2016-1000338,06/01/2018
CVE-2016-6793,07/17/2017
CVE-2016-9177,11/04/2016
CVE-2019-14838,10/14/2019
CVE-2009-2901,01/28/2010
CVE-2021-21290,02/08/2021
CVE-2021-3642,08/05/2021
CVE-2014-3558,09/30/2014
CVE-2021-42392,01/10/2022
CVE-2018-1271,04/06/2018
CVE-2019-9658,03/11/2019
CVE-2021-43795,12/02/2021
CVE-2017-5664,06/06/2017
CVE-2018-12972,06/29/2018
CVE-2019-18394,10/24/2019
CVE-2020-5411,06/11/2020
CVE-2011-1088,03/14/2011
CVE-2013-2248,07/19/2013
CVE-2017-12616,09/19/2017
CVE-2015-1836,12/21/2015
CVE-2016-5007,05/25/2017
CVE-2016-6805,04/07/2017
CVE-2021-21347,03/22/2021
CVE-2016-9487,07/13/2018
CVE-2021-39147,08/23/2021
CVE-2018-1259,05/11/2018
CVE-2019-7722,02/11/2019
CVE-2022-24289,02/11/2022
CVE-2017-7561,09/13/2017
CVE-2017-5656,04/18/2017
CVE-2016-8739,08/10/2017
CVE-2013-6430,01/10/2020
CVE-2018-1317,04/23/2019
CVE-2016-1000341,06/04/2018
CVE-2016-8747,03/14/2017
CVE-2021-44228,12/10/2021
CVE-2017-9795,01/09/2018
CVE-2014-0107,04/15/2014
CVE-2022-23913,02/04/2022
CVE-2014-8114,02/20/2015
CVE-2008-1947,06/04/2008
CVE-2020-5413,07/31/2020
CVE-2015-3192,07/12/2016
CVE-2014-0228,11/16/2014
CVE-2021-36090,07/13/2021
CVE-2019-10095,09/02/2021
CVE-2014-3652,12/15/2019
CVE-2019-12400,08/23/2019
CVE-2021-26118,01/27/2021
CVE-2021-21346,03/22/2021
CVE-2020-1957,03/25/2020
CVE-2011-4343,08/08/2017
