CVE_ID,PATCH,G:A:V,Commit Date,Oldest Tag,Oldest Tag Date
CVE-2013-4600,https://github.com/alkacon/opencms-core/commit/72a05e3ea1cf692e2efce002687272e63f98c14a,org.opencms:opencms-core:8.5.0,2013-06-20 15:32:02,build_8_5_2,2013-07-09 11:57:20
CVE-2018-3831,https://github.com/elastic/elasticsearch/commit/cfe3d9f611a328cfffc18b445b3aecb016349514,org.elasticsearch:elasticsearch:5.3.0,2018-08-29 16:31:56,v5.6.12,2018-08-29 16:31:56
CVE-2013-4310,https://github.com/apache/struts/commit/0c8366cb792227d484b9ca13e537037dd0cb57dc,org.apache.struts:struts2-core:2.1.8.1,2013-10-15 18:20:43,STRUTS_2_3_15_3,2013-10-15 18:58:03
CVE-2018-1000615,https://github.com/opennetworkinglab/onos/commit/1a783729a1d7e0cd59d59a8dd3a73cdd6ac0f30d,org.onosproject:onos-ovsdb-rfc:1.6.0,2018-06-27 21:07:37,1.14.0-rc1,2018-08-13 23:15:43
CVE-2022-23596,https://github.com/junrar/junrar/commit/7b16b3d90b91445fd6af0adfed22c07413d4fab7,com.github.junrar:junrar:0.7,2022-01-27 12:08:38,v7.4.1,2022-01-27 04:33:14
CVE-2021-39154,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c,com.thoughtworks.xstream:xstream:1.4.11.1,2021-05-26 19:43:09,XSTREAM_1_4_18,2021-08-22 13:57:44
CVE-2019-16943,https://github.com/FasterXML/jackson-databind/commit/54aa38d87dcffa5ccc23e64922e9536c82c1b9c8,com.fasterxml.jackson.core:jackson-databind:2.9.8,2019-09-29 12:12:38,jackson-databind-2.10.1,2019-11-09 15:11:27
CVE-2012-0838,https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892,org.apache.struts.xwork:xwork-core:2.2.3,2011-08-12 08:38:39,STRUTS_2_3_1,2011-12-08 21:07:36
CVE-2020-26217,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a,com.thoughtworks.xstream:xstream:1.4.13,2020-09-24 01:57:18,XSTREAM_1_4_14,2020-11-16 00:01:04
CVE-2020-24301,https://github.com/jamesagnew/hapi-fhir/commit/adb3734fcbbf9a9165445e9ee5eef168dbcaedaf,ca.uhn.hapi.fhir:hapi-fhir-testpage-overlay:5.0.2,not found,not found,not found
CVE-2021-37714,https://github.com/jhy/jsoup/commit/d2c455c94a3aaaca29d8cec6bd53ee9824622b51,org.jsoup:jsoup:1.13.1,2021-08-15 12:31:12,jsoup-1.14.2,2021-08-15 15:39:15
CVE-2019-3888,https://github.com/undertow-io/undertow/commit/20cacc96c0594f4f4f9bb1cc2b93a77b6be3f74c,io.undertow:undertow-core:1.4.20.Final,2019-03-28 08:15:59,2.0.20.Final,2019-04-04 05:56:21
CVE-2021-44832,https://github.com/apache/logging-log4j2/commit/05db5f9527254632b59aed2a1d78a32c5ab74f16,org.apache.logging.log4j:log4j-core:2.13.3,2021-12-27 12:42:26,log4j-2.17.1-rc1,2021-12-27 17:29:31
CVE-2019-17569,https://github.com/apache/tomcat/commit/b191a0d,org.apache.tomcat:tomcat-coyote:7.0.99,2020-02-04 14:47:19,7.0.100,2020-02-11 00:25:24
CVE-2020-9492,https://github.com/apache/hadoop/commit/28715b584ab25dedc600cc2d5d22866865026bf7,org.apache.hadoop:hadoop-hdfs-client:2.8.5,2020-05-02 22:03:53,rel/release-2.10.1,2020-09-14 21:59:11
CVE-2017-12626,https://github.com/apache/poi/commit/cd6236c74b55763a27e3e9b5f269c28bc9c98419,org.apache.poi:poi:3.15,not found,not found,not found
CVE-2021-25329,https://github.com/apache/tomcat/commit/6d66e99ef85da93e4d2c2a536ca51aa3418bfaf4,org.apache.tomcat:tomcat-catalina:10.0.0,2021-01-20 13:28:57,10.0.1,2021-01-27 14:06:19
CVE-2020-36282,https://github.com/rabbitmq/rabbitmq-jms-client/commit/f647e5dbfe055a2ca8cbb16dd70f9d50d888b638,com.rabbitmq.jms:rabbitmq-jms:2.1.1,2020-11-02 11:39:24,v2.2.0,2020-11-03 09:27:56
CVE-2017-15693,https://github.com/apache/geode/commit/a2bd5788d0b0728d91d551ddaac878b336d7892a,org.apache.geode:geode-core:1.2.1,2017-11-30 14:25:48,rel/v1.4.0,2018-01-26 08:34:31
CVE-2014-0050,https://github.com/apache/commons-fileupload/commit/c61ff05b3241cb14d989b67209e57aa71540417a,commons-fileupload:commons-fileupload:1.2.1,2014-02-06 10:14:24,FILEUPLOAD_1_3_1_RC1,2014-02-06 17:01:34
CVE-2020-11996,https://github.com/apache/tomcat/commit/9a0231683a77e2957cea0fdee88b193b30b0c976,org.apache.tomcat:tomcat-coyote:9.0.35,2020-05-22 11:40:44,9.0.36,2020-06-03 18:03:53
CVE-2018-1339,https://github.com/apache/tika/commit/ffb48dd29d0c2009490caefda75e5b57c7958c51,org.apache.tika:tika-parsers:1.17,2018-04-16 15:37:25,1.18-rc2,2018-04-16 20:53:18
CVE-2017-12196,https://github.com/undertow-io/undertow/commit/facb33a5cedaf4b7b96d3840a08210370a806870,io.undertow:undertow-core:1.4.18.Final,2018-03-16 08:37:03,2.0.2.Final,2018-03-16 14:29:07
CVE-2017-15696,https://github.com/apache/geode/commit/37a897027074d4f160a5f96cd171ac384fa1b6df,org.apache.geode:geode-core:1.2.1,2017-11-21 07:59:38,rel/v1.4.0,2018-01-26 08:34:31
CVE-2020-25711,https://github.com/infinispan/infinispan/commit/37ddb6daa47e92047556e96339e16e154bf1d81e,org.infinispan:infinispan-server-runtime:11.0.5.Final,2020-11-27 13:12:26,11.0.7.Final,2020-11-30 05:14:35
CVE-2016-1182,https://github.com/kawasima/struts1-forever/commit/eda3a79907ed8fcb0387a0496d0cb14332f250e8,struts:struts:1.2.9,2016-06-08 11:38:30,FOREVER_20160608,2016-06-08 11:38:30
CVE-2012-4386,https://github.com/apache/struts/commit/a1ca307981b0930d1687ed89f0b7305af79da0f3,org.apache.struts:struts2-core:2.1.8.1,2012-08-03 08:03:12,STRUTS_2_3_5,2012-10-05 13:29:13
CVE-2013-4322,https://github.com/apache/tomcat/commit/85db6e85d8365d312fcb51d8558f83ae91d47893,org.apache.tomcat:tomcat-coyote:7.0.27,2013-09-11 13:44:21,8.5.0,2016-03-17 14:45:28
CVE-2017-15713,https://github.com/apache/hadoop/commit/feb886f2093ea5da0cd09c69bd1360a335335c86,org.apache.hadoop:hadoop-common:0.23.11,2017-11-09 15:26:37,release-2.7.5-RC0,2017-12-01 19:14:32
CVE-2019-17572,https://github.com/apache/rocketmq/commit/f8f6fbe4aa7f5dee937e688322628c366b12a552,org.apache.rocketmq:rocketmq-broker:4.4.0,2019-12-12 11:39:33,rocketmq-all-4.6.1,2020-01-20 22:11:21
CVE-2016-2510,https://github.com/beanshell/beanshell/commit/1ccc66bb693d4e46a34a904db8eeff07808d2ced,org.apache-extras.beanshell:bsh:2.0b5,not found,not found,not found
