CVE_ID,PATCH,gav,presen,conent,repository,Commit Message,Links in Message,Link Presence,Severity
CVE-2013-4600,https://github.com/alkacon/opencms-core/commit/72a05e3ea1cf692e2efce002687272e63f98c14a,org.opencms:opencms-core:8.5.0,yes,"# Reporting Security Issues

The Alkacon Software team and the OpenCms community take security issues in OpenCms seriously. We appreciate your efforts to responsibly disclose your findings, and will make every effort to acknowledge your contributions.

Please report security issues in OpenCms using the [security issue report form on the Alkacon website](https://www.alkacon.com/security/).

We'll endeavor to respond quickly, and will keep you updated in the course of the resolution process.",alkacon/opencms-core,Fixed some XSS problems (github issue #173),https://github.com/alkacon/opencms-core/issues/173,contains links,Medium
CVE-2018-3831,https://github.com/elastic/elasticsearch/commit/cfe3d9f611a328cfffc18b445b3aecb016349514,org.elasticsearch:elasticsearch:5.3.0,yes,"# Security Policy

Thanks for your interest in the security of our products.
Our security policy can be found at [https://www.elastic.co/community/security](https://www.elastic.co/community/security).

## Reporting a Vulnerability

Please send security vulnerability reports to our [public bug bounty program](https://hackerone.com/elastic) or to security@elastic.co.
",elastic/elasticsearch,"Apply settings filter to get cluster settings API (#33247)

Some settings have filters applied to them and we use this in logs and
the get nodes info API. For consistency, we should apply this in the get
cluster settings API too.",https://github.com/elastic/elasticsearch/pull/33247,contains links,Medium
CVE-2013-4310,https://github.com/apache/struts/commit/0c8366cb792227d484b9ca13e537037dd0cb57dc,org.apache.struts:struts2-core:2.1.8.1,yes,"# Security Policy

## Supported Versions

Please visit the [Releases](https://struts.apache.org/releases.html#prior-releases) page to see full information about each version 
and what potential vulnerability it can have:

| Version | Supported          |
|---------|--------------------|
| 7.x     | :white_check_mark: |
| 6.7.x   | :white_check_mark: |
| 2.5.x   | ❌ |

## Reporting New Security Issues with thr Apache Struts

([original](https://struts.apache.org/security.html))

The Apache Struts project takes a very active stance in eliminating security problems
and denial of service attacks against applications using the Apache Struts framework.

**We strongly encourage folks to report such security problems to our private security mailing list first,
before disclosing them in a public forum**.

We cannot accept regular bug reports or other queries at this address, we ask that you use our
[issue tracker (JIRA)](https://issues.apache.org/jira/browse/WW) for those.

```
All mail sent to this address that does not relate to security problems in the Apache Struts source code will be ignored
```

Note that all networked servers are subject to denial of service attacks, and we cannot promise magic
workarounds to generic problems (such as a client streaming lots of data to your server, or requesting
the same URL repeatedly). In general, our philosophy is to avoid any attacks that can cause the server
to consume resources in a non-linear relationship to the size of inputs.

The mailing address is: [security@struts.apache.org](mailto:security@struts.apache.org)

[General network server security tips](http://httpd.apache.org/docs/trunk/misc/security_tips.html)

[The Apache Security Team](http://www.apache.org/security/)
",apache/struts,"Changes archetypes version to match latest release

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_X@1532467 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_X@1532467,contains links,Medium
CVE-2018-1000615,https://github.com/opennetworkinglab/onos/commit/1a783729a1d7e0cd59d59a8dd3a73cdd6ac0f30d,org.onosproject:onos-ovsdb-rfc:1.6.0,no,,opennetworkinglab/onos,"Fix for OS-12, NumberFormatException on badly formatted version string

Change-Id: I7d667b12bcc00e8a8135c367cb9463f266130d31",,no links,Medium
CVE-2022-23596,https://github.com/junrar/junrar/commit/7b16b3d90b91445fd6af0adfed22c07413d4fab7,com.github.junrar:junrar:0.7,no,,junrar/junrar,"fix: invalid subheader type would throw npe and make the extract loop

closes #73",https://github.com/junrar/junrar/issues/73,contains links,Medium
CVE-2021-39154,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c,com.thoughtworks.xstream:xstream:1.4.11.1,yes,"# Security Policy

## Supported Versions

The 1.4.x version is actively maintained.

| Version | Supported          |
| ------- | ------------------ |
| 1.4.x   | :white_check_mark: |
| < 1.4.0 | :x:                |

## Reporting a Vulnerability

If you have identified a security issue, please open a [new private security advisory](https://github.com/x-stream/xstream/security/advisories/new).
Provide there all details to reproduce the problem with the latest XStream version.

Note, that XStream cares about security issues with XStream itself or in combination with the Java runtime, but not with
3rd party libraries. It is in the resposibility of each developer who brings those libraries together to setup the
[XStream Security Framework](https://x-stream.github.io/security.html#framework) properly.
",x-stream/xstream,Switch to whitelist by default.,,no links,Medium
CVE-2019-16943,https://github.com/fasterxml/jackson-databind/commit/54aa38d87dcffa5ccc23e64922e9536c82c1b9c8,com.fasterxml.jackson.core:jackson-databind:2.9.8,yes,"# Security Policy

Last Updated: 2022-09-20

## Supported Versions

Current status of open branches, with new releases, can be found from [Jackson Releases](https://github.com/FasterXML/jackson/wiki/Jackson-Releases)
wiki page

## Reporting a Vulnerability

The recommended mechanism for reporting possible security vulnerabilities follows
so-called ""Coordinated Disclosure Plan"" (see [definition of DCP](https://vuls.cert.org/confluence/display/Wiki/Coordinated+Vulnerability+Disclosure+Guidance)
for general idea). The first step is to file a [Tidelift security contact](https://tidelift.com/security):
Tidelift will route all reports via their system to maintainers of relevant package(s), and start the
process that will evaluate concern and issue possible fixes, send update notices and so on.
Note that you do not need to be a Tidelift subscriber to file a security contact.

Alternatively you may also report possible vulnerabilities to `info` at fasterxml dot com
mailing address. Note that filing an issue to go with report is fine, but if you do that please
DO NOT include details of security problem in the issue but only in email contact.
This is important to give us time to provide a patch, if necessary, for the problem.

## Verifying Artifact signatures

(for more in-depth explanation, see [Apache Release Signing](https://infra.apache.org/release-signing#keys-policy) document)

To verify that any given Jackson artifact has been signed with a valid key, have a look at `KEYS` file of the main Jackson repo:

https://github.com/FasterXML/jackson/blob/master/KEYS

which lists all known valid keys in use.
",fasterxml/jackson-databind,More clean up after #2478,https://github.com/FasterXML/jackson-databind/issues/2478,contains links,Medium
CVE-2012-0838,https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892,org.apache.struts.xwork:xwork-core:2.2.3,yes,"# Security Policy

## Supported Versions

Please visit the [Releases](https://struts.apache.org/releases.html#prior-releases) page to see full information about each version 
and what potential vulnerability it can have:

| Version | Supported          |
|---------|--------------------|
| 7.x     | :white_check_mark: |
| 6.7.x   | :white_check_mark: |
| 2.5.x   | ❌ |

## Reporting New Security Issues with thr Apache Struts

([original](https://struts.apache.org/security.html))

The Apache Struts project takes a very active stance in eliminating security problems
and denial of service attacks against applications using the Apache Struts framework.

**We strongly encourage folks to report such security problems to our private security mailing list first,
before disclosing them in a public forum**.

We cannot accept regular bug reports or other queries at this address, we ask that you use our
[issue tracker (JIRA)](https://issues.apache.org/jira/browse/WW) for those.

```
All mail sent to this address that does not relate to security problems in the Apache Struts source code will be ignored
```

Note that all networked servers are subject to denial of service attacks, and we cannot promise magic
workarounds to generic problems (such as a client streaming lots of data to your server, or requesting
the same URL repeatedly). In general, our philosophy is to avoid any attacks that can cause the server
to consume resources in a non-linear relationship to the size of inputs.

The mailing address is: [security@struts.apache.org](mailto:security@struts.apache.org)

[General network server security tips](http://httpd.apache.org/docs/trunk/misc/security_tips.html)

[The Apache Security Team](http://www.apache.org/security/)
",apache/struts,"WW-3668 - Vulnerability: User input is evaluated as an OGNL expression when there's a conversion error

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/trunk@1157009 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/trunk@1157009,contains links,Critical
CVE-2020-26217,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a,com.thoughtworks.xstream:xstream:1.4.13,yes,"# Security Policy

## Supported Versions

The 1.4.x version is actively maintained.

| Version | Supported          |
| ------- | ------------------ |
| 1.4.x   | :white_check_mark: |
| < 1.4.0 | :x:                |

## Reporting a Vulnerability

If you have identified a security issue, please open a [new private security advisory](https://github.com/x-stream/xstream/security/advisories/new).
Provide there all details to reproduce the problem with the latest XStream version.

Note, that XStream cares about security issues with XStream itself or in combination with the Java runtime, but not with
3rd party libraries. It is in the resposibility of each developer who brings those libraries together to setup the
[XStream Security Framework](https://x-stream.github.io/security.html#framework) properly.
",x-stream/xstream,Fix for CVE-2017-9805.,,contains links,Critical
CVE-2020-24301,https://github.com/jamesagnew/hapi-fhir/commit/adb3734fcbbf9a9165445e9ee5eef168dbcaedaf,ca.uhn.hapi.fhir:hapi-fhir-testpage-overlay:5.0.2,no,,jamesagnew/hapi-fhir,not found,,no links,Medium
