source_row_index,CVE_ID,Commit Message,Links in Message,Link Presence,PATCH,repository,first_patch_url,page_status,page_error,clickable_links,recovered_first_link,recovered_first_link_type,recovery_status,failure_reason,recovered_link_clean,recovered_link_type_for_created_date,recovered_link,mined_recovered_link_type,recovered_link_created_at,recovered_link_created_date_source,recovered_link_created_date_status,recovered_link_created_date_reason,created_date_kind
0,CVE-2020-26217,Fix for CVE-2017-9805.,,contains links,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a,x-stream/xstream,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a,200,,https://github.com/advisories/GHSA-gg9m-fj3v-r58c; https://github.com/x-stream/xstream/commit/573fbafb06859ecb3a836bd6fe2afacfc5cdabcc,https://github.com/advisories/GHSA-gg9m-fj3v-r58c,github advisory,successful,,https://github.com/advisories/GHSA-gg9m-fj3v-r58c,github advisory,https://github.com/advisories/GHSA-gg9m-fj3v-r58c,github advisory,2018-10-16T19:37:56Z,https://api.github.com/advisories/GHSA-gg9m-fj3v-r58c,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
1,CVE-2019-3888,"[UNDERTOW-1515] HttpServerExchange.toString does not include headers

This reverts commit 51144633f22ba0e73ee1f435db72025720395797.",,contains links,https://github.com/undertow-io/undertow/commit/20cacc96c0594f4f4f9bb1cc2b93a77b6be3f74c;https://github.com/undertow-io/undertow/commit/9bf05b765e222dd106fee9b46314061b18b7275e,undertow-io/undertow,https://github.com/undertow-io/undertow/commit/20cacc96c0594f4f4f9bb1cc2b93a77b6be3f74c,200,,https://github.com/undertow-io/undertow/commit/51144633f22ba0e73ee1f435db72025720395797; https://github.com/undertow-io/undertow/commit/be69bddcf5af1d98714fc316220a3aae4bebb3ec,https://github.com/undertow-io/undertow/commit/51144633f22ba0e73ee1f435db72025720395797,github commit,successful,,https://github.com/undertow-io/undertow/commit/51144633f22ba0e73ee1f435db72025720395797,github commit,https://github.com/undertow-io/undertow/commit/51144633f22ba0e73ee1f435db72025720395797,github commit,2015-08-16T23:19:14Z,https://api.github.com/repos/undertow-io/undertow/commits/51144633f22ba0e73ee1f435db72025720395797,ok,GitHub commit URL has no created_at; used commit committer date,commit_committer_date
2,CVE-2020-9492,"SPNEGO TLS verification

Signed-off-by: Akira Ajisaka <aajisaka@apache.org>
(cherry picked from commit ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7)

 Conflicts:
	hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/web/WebHdfsFileSystem.java",,contains links,https://github.com/apache/hadoop/commit/28715b584ab25dedc600cc2d5d22866865026bf7,apache/hadoop,https://github.com/apache/hadoop/commit/28715b584ab25dedc600cc2d5d22866865026bf7,200,,https://github.com/apache/hadoop/commit/ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7; https://github.com/apache/hadoop/commit/4cf7bbf04345a9e72302eca536b5975bee5c4e47,https://github.com/apache/hadoop/commit/ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7,github commit,successful,,https://github.com/apache/hadoop/commit/ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7,github commit,https://github.com/apache/hadoop/commit/ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7,github commit,2020-05-02T12:50:13Z,https://api.github.com/repos/apache/hadoop/commits/ba66f3b454a5f6ea84f2cf7ac0082c555e2954a7,ok,GitHub commit URL has no created_at; used commit committer date,commit_committer_date
3,CVE-2017-12626,not found,,contains links,https://github.com/apache/poi/commit/cd6236c74b55763a27e3e9b5f269c28bc9c98419;https://github.com/apache/poi/commit/c7db66a30dfb6cbbd5812ff3ae4c90ed2d9b9a27;https://github.com/apache/poi/commit/a07ed9e86474da98f204efadfd5b9327009a0d21;https://github.com/apache/poi/commit/df3910135fd9c442b4e746e4b156362fd2e8d755,apache/poi,https://github.com/apache/poi/commit/cd6236c74b55763a27e3e9b5f269c28bc9c98419,200,,https://svn.apache.org/repos/asf/poi/trunk@1793602; https://github.com/apache/poi/commit/a0b324224b9f756a6c2b9c61e0c66a7dd96f9ea7,https://svn.apache.org/repos/asf/poi/trunk@1793602,source/tracker link,successful,,https://svn.apache.org/repos/asf/poi/trunk@1793602,svn/source link,https://svn.apache.org/repos/asf/poi/trunk@1793602,svn/source link,,https://svn.apache.org/repos/asf/poi/trunk@1793602,not_available,"SVN revision date not found for r1793602; last error: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>401 Unauthorized</title>
</head><body>
<h1>Unauthorized</h1>
<p>This server could not verify that you
are authorized to access the document
requested.  Either you supplied the wrong
credentials (e.g., bad password), or your
browser doesn't understand how to supply
the credentials required.</p>
</body></html>
 (401) for https://svn.apache.org/repos/asf/poi/trunk@1793602",
4,CVE-2016-1182,Fixed CVE-2016-1181 and CVE-2016-1182,,contains links,https://github.com/kawasima/struts1-forever/commit/eda3a79907ed8fcb0387a0496d0cb14332f250e8,kawasima/struts1-forever,https://github.com/kawasima/struts1-forever/commit/eda3a79907ed8fcb0387a0496d0cb14332f250e8,200,,https://github.com/advisories/GHSA-7jw3-5q4w-89qg; https://github.com/advisories/GHSA-5ggr-mpgw-3mgx; https://github.com/kawasima/struts1-forever/commit/fdd9eb8f94ca75eb9effac9602b9d4ee0cb904b5,https://github.com/advisories/GHSA-7jw3-5q4w-89qg,github advisory,successful,,https://github.com/advisories/GHSA-7jw3-5q4w-89qg,github advisory,https://github.com/advisories/GHSA-7jw3-5q4w-89qg,github advisory,2022-05-13T01:25:20Z,https://api.github.com/advisories/GHSA-7jw3-5q4w-89qg,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
5,CVE-2017-15713,"Fixing Job History Server Configuration parsing. (Jason Lowe via asuresh)

(cherry picked from commit b3df744fb651d480050cf355f7004e50e30f22ff)",,contains links,https://github.com/apache/hadoop/commit/feb886f2093ea5da0cd09c69bd1360a335335c86,apache/hadoop,https://github.com/apache/hadoop/commit/feb886f2093ea5da0cd09c69bd1360a335335c86,200,,https://github.com/apache/hadoop/commit/b3df744fb651d480050cf355f7004e50e30f22ff; https://github.com/apache/hadoop/commit/0c86dc82179c018b387d9471b3dc4dc04c331300,https://github.com/apache/hadoop/commit/b3df744fb651d480050cf355f7004e50e30f22ff,github commit,successful,,https://github.com/apache/hadoop/commit/b3df744fb651d480050cf355f7004e50e30f22ff,github commit,https://github.com/apache/hadoop/commit/b3df744fb651d480050cf355f7004e50e30f22ff,github commit,2017-11-09T23:25:59Z,https://api.github.com/repos/apache/hadoop/commits/b3df744fb651d480050cf355f7004e50e30f22ff,ok,GitHub commit URL has no created_at; used commit committer date,commit_committer_date
6,CVE-2021-20218,fix: CVE-2021-20218 vulnerable to a path traversal,,contains links,https://github.com/fabric8io/kubernetes-client/commit/857c8733a89d59ca34c268a00aa4708bb2566a35,fabric8io/kubernetes-client,https://github.com/fabric8io/kubernetes-client/commit/857c8733a89d59ca34c268a00aa4708bb2566a35,200,,https://github.com/advisories/GHSA-jwh2-ffg4-48xc; https://github.com/fabric8io/kubernetes-client/commit/613fc1c16fb26e5bd9a49339ae88dfb92b8c77e6,https://github.com/advisories/GHSA-jwh2-ffg4-48xc,github advisory,successful,,https://github.com/advisories/GHSA-jwh2-ffg4-48xc,github advisory,https://github.com/advisories/GHSA-jwh2-ffg4-48xc,github advisory,2022-05-24T17:44:37Z,https://api.github.com/advisories/GHSA-jwh2-ffg4-48xc,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
7,CVE-2016-5001,"HDFS-9574. Reduce client failures during datanode restart. Contributed by Kihwal Lee.
(cherry picked from commit b06e39de4fc4f9c35afb472eef0bba2adf91954f)

Conflicts:
	hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSConfigKeys.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSInputStream.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataNodeFaultInjector.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataXceiver.java
	hadoop-hdfs-project/hadoop-hdfs/src/main/resources/hdfs-default.xml",,contains links,https://github.com/apache/hadoop/commit/04b8a19f81ee616c315eec639642439b3a18ad9c,apache/hadoop,https://github.com/apache/hadoop/commit/04b8a19f81ee616c315eec639642439b3a18ad9c,200,,https://issues.apache.org/jira/browse/HDFS-9574; https://github.com/apache/hadoop/commit/b06e39de4fc4f9c35afb472eef0bba2adf91954f; https://github.com/apache/hadoop/commit/9cb288e9faf7556c11c1c4ca963f7eaddd556a2c,https://issues.apache.org/jira/browse/HDFS-9574,apache issue tracker,successful,,https://issues.apache.org/jira/browse/HDFS-9574,jira issue tracker,https://issues.apache.org/jira/browse/HDFS-9574,jira issue tracker,2015-12-17T23:03:00Z,https://issues.apache.org/jira/browse/HDFS-9574,ok,parsed from Jira HTML fallback,created_at
8,CVE-2021-43797,"Merge pull request from GHSA-wx5j-54mm-rqqq

Motivation:

We should validate that only OWS is allowed before / after a header name and otherwise throw. At the moment we just ""strip"" everything except OWS.

Modifications:

- Adjust code to correctly validate
- Add unit tests

Result:

More strict and correct behaviour",,contains links,https://github.com/netty/netty/commit/07aa6b5938a8b6ed7a6586e066400e2643897323,netty/netty,https://github.com/netty/netty/commit/07aa6b5938a8b6ed7a6586e066400e2643897323,200,,https://github.com/advisories/GHSA-wx5j-54mm-rqqq; https://github.com/netty/netty/commit/d80a34ecf84bbe153b60123b059deabcc97a8935,https://github.com/advisories/GHSA-wx5j-54mm-rqqq,github advisory,successful,,https://github.com/advisories/GHSA-wx5j-54mm-rqqq,github advisory,https://github.com/advisories/GHSA-wx5j-54mm-rqqq,github advisory,2021-12-09T19:09:17Z,https://api.github.com/advisories/GHSA-wx5j-54mm-rqqq,ok,GitHub advisory API exposes published_at; used as advisory availability date,published_at
9,CVE-2019-3802,"DATAJPA-1534 - Escape wildcards in QBE Like-queries.

The `StringMatcher` values `STARTING`, `ENDING`, and `CONTAINING` now escape wildcards in their parameters.

See also: DATAJPA-1519, DATAJPA-1522.",,contains links,https://github.com/spring-projects/spring-data-jpa/commit/33027dc370f418981f41f8fdfebc7173155960a1,spring-projects/spring-data-jpa,https://github.com/spring-projects/spring-data-jpa/commit/33027dc370f418981f41f8fdfebc7173155960a1,200,,https://jira.spring.io/browse/DATAJPA-1534; https://jira.spring.io/browse/DATAJPA-1519; https://jira.spring.io/browse/DATAJPA-1522; https://github.com/spring-projects/spring-data-jpa/commit/9fc8f4b24347df76793bb8a0e210d26075518e9d,https://jira.spring.io/browse/DATAJPA-1534,jira issue tracker,successful,,https://jira.spring.io/browse/DATAJPA-1534,jira issue tracker,https://jira.spring.io/browse/DATAJPA-1534,jira issue tracker,,https://jira.spring.io/browse/DATAJPA-1534,not_available,,
