upstream_GA,CVEs,dependents,% of all exposure,cumulative %
commons-io:commons-io,1,4386,9.87,9.9
com.fasterxml.jackson.core:jackson-databind,6,4137,9.31,19.2
junit:junit,1,4015,9.03,28.2
com.thoughtworks.xstream:xstream,22,3706,8.34,36.6
com.google.guava:guava,1,3247,7.3,43.8
org.apache.logging.log4j:log4j-core,5,2225,5.01,48.9
org.bouncycastle:bcprov-jdk15on,12,1660,3.73,52.6
com.h2database:h2,3,1048,2.36,54.9
org.apache.httpcomponents:httpclient,5,905,2.04,57.0
commons-fileupload:commons-fileupload,4,860,1.93,58.9
org.apache.commons:commons-compress,5,849,1.91,60.8
commons-beanutils:commons-beanutils,1,786,1.77,62.6
org.springframework:spring-web,10,698,1.57,64.2
org.apache.poi:poi-ooxml,4,697,1.57,65.7
io.undertow:undertow-core,15,640,1.44,67.2
org.springframework:spring-core,3,555,1.25,68.4
mysql:mysql-connector-java,4,552,1.24,69.7
org.postgresql:postgresql,3,479,1.08,70.7
org.apache.zookeeper:zookeeper,3,465,1.05,71.8
org.apache.hadoop:hadoop-common,6,429,0.97,72.8
org.opencms:opencms-core,6,350,0.79,73.6
org.apache.commons:commons-collections4,1,349,0.79,74.3
org.elasticsearch:elasticsearch,8,310,0.7,75.0
io.netty:netty-codec,3,264,0.59,75.6
io.vertx:vertx-core,2,255,0.57,76.2
org.codehaus.plexus:plexus-utils,1,248,0.56,76.8
org.jsoup:jsoup,1,244,0.55,77.3
org.springframework.security:spring-security-core,7,235,0.53,77.8
com.mchange:c3p0,2,216,0.49,78.3
org.apache.shiro:shiro-core,4,206,0.46,78.8
org.jboss.resteasy:resteasy-jaxrs,6,202,0.45,79.2
org.apache.tomcat:tomcat-catalina,35,194,0.44,79.7
org.mybatis:mybatis,1,193,0.43,80.1
io.netty:netty-codec-http,6,186,0.42,80.5
org.apache.uima:uimaj-core,1,183,0.41,80.9
org.apache.struts:struts2-core,26,179,0.4,81.3
org.apache.solr:solr-core,15,171,0.38,81.7
xalan:xalan,1,171,0.38,82.1
com.vaadin:flow-server,9,170,0.38,82.5
org.apache.derby:derby,3,170,0.38,82.9
org.apache.wicket:wicket-core,4,167,0.38,83.2
org.apache.hive:hive-exec,6,163,0.37,83.6
org.apache.shiro:shiro-web,3,161,0.36,84.0
org.apache.tomcat:tomcat-coyote,28,145,0.33,84.3
org.apache.kafka:kafka-clients,1,144,0.32,84.6
org.apache.thrift:libthrift,1,139,0.31,84.9
org.springframework:spring-webmvc,4,137,0.31,85.2
org.apache.cxf:cxf-rt-transports-http,4,137,0.31,85.6
org.eclipse.jetty:jetty-server,7,133,0.3,85.9
org.opencastproject:opencast-common,1,131,0.29,86.1
com.squareup.retrofit2:retrofit,1,129,0.29,86.4
com.google.protobuf:protobuf-java,1,128,0.29,86.7
io.vertx:vertx-web,3,128,0.29,87.0
org.apache.tika:tika-parsers,8,119,0.27,87.3
org.apache.camel:camel-core,8,117,0.26,87.5
org.apache.poi:poi,1,117,0.26,87.8
org.apache.hadoop:hadoop-hdfs,4,114,0.26,88.1
org.codehaus.groovy:groovy,1,111,0.25,88.3
org.apache.pdfbox:pdfbox,4,111,0.25,88.6
org.apache.hadoop:hadoop-mapreduce-client-core,2,111,0.25,88.8
tomcat:catalina,8,104,0.23,89.0
org.apache.tika:tika-core,4,103,0.23,89.3
org.mindrot:jbcrypt,1,96,0.22,89.5
org.jooby:jooby,2,94,0.21,89.7
struts:struts,3,93,0.21,89.9
org.keycloak:keycloak-services,14,91,0.2,90.1
org.springframework:spring-beans,1,90,0.2,90.3
org.apache.mina:mina-core,1,88,0.2,90.5
org.apache.velocity:velocity-engine-core,1,84,0.19,90.7
org.apache.tomcat:catalina,5,81,0.18,90.9
org.apache.commons:commons-email,1,77,0.17,91.1
org.apache.wicket:wicket,1,77,0.17,91.2
io.netty:netty-handler,1,74,0.17,91.4
org.hibernate:hibernate-validator,2,70,0.16,91.6
org.hibernate.validator:hibernate-validator,1,70,0.16,91.7
net.minidev:json-smart,1,68,0.15,91.9
org.springframework.security:spring-security-web,2,63,0.14,92.0
org.keycloak:keycloak-core,1,63,0.14,92.2
org.eclipse.jetty:jetty-http,5,60,0.13,92.3
org.apache.struts.xwork:xwork-core,17,59,0.13,92.4
org.eclipse.jetty:jetty-util,4,59,0.13,92.5
com.ning:async-http-client,2,55,0.12,92.7
org.apache.cxf:cxf-rt-ws-security,3,52,0.12,92.8
org.onosproject:onos-cli,1,51,0.11,92.9
org.dom4j:dom4j,2,50,0.11,93.0
org.jolokia:jolokia-core,4,49,0.11,93.1
com.sparkjava:spark-core,2,49,0.11,93.2
org.springframework.security.oauth:spring-security-oauth2,4,48,0.11,93.3
org.springframework:spring-oxm,3,47,0.11,93.4
org.apache.dubbo:dubbo,2,46,0.1,93.5
org.apache.commons:commons-configuration2,1,46,0.1,93.6
org.eclipse.paho:org.eclipse.paho.client.mqttv3,1,46,0.1,93.7
org.springframework.security:spring-security-config,2,44,0.1,93.8
com.hazelcast:hazelcast,2,43,0.1,93.9
org.java-websocket:Java-WebSocket,1,41,0.09,94.0
org.springframework.data:spring-data-jpa,3,41,0.09,94.1
io.netty:netty-codec-http2,2,40,0.09,94.2
edu.stanford.nlp:stanford-corenlp,1,40,0.09,94.3
org.apache.xmlgraphics:batik-dom,2,40,0.09,94.4
org.apache.santuario:xmlsec,6,39,0.09,94.5
org.apache.storm:storm-core,5,38,0.09,94.6
org.liquibase:liquibase-core,1,37,0.08,94.6
org.apache.activemq:activemq-broker,4,37,0.08,94.7
org.apache.gobblin:gobblin-utility,1,36,0.08,94.8
org.apache.flink:flink-runtime_2.12,1,36,0.08,94.9
com.github.junrar:junrar,2,36,0.08,95.0
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,1,34,0.08,95.0
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,2,34,0.08,95.1
org.apache.tapestry:tapestry-core,3,33,0.07,95.2
com.ibm.icu:icu4j,1,33,0.07,95.3
org.owasp.esapi:esapi,2,33,0.07,95.3
org.apache.poi:poi-scratchpad,3,32,0.07,95.4
org.asynchttpclient:async-http-client,1,32,0.07,95.5
org.apache.logging.log4j:log4j-1.2-api,1,32,0.07,95.5
org.apache.ranger:ranger-plugins-common,2,30,0.07,95.6
com.alibaba:fastjson,1,29,0.07,95.7
org.python:jython-standalone,1,27,0.06,95.7
org.drools:drools-core,1,27,0.06,95.8
org.apache.geode:geode-core,10,27,0.06,95.9
org.apache.ignite:ignite-core,3,26,0.06,95.9
ognl:ognl,1,26,0.06,96.0
io.kubernetes:client-java,2,26,0.06,96.0
org.infinispan:infinispan-commons,1,26,0.06,96.1
org.apache.cassandra:cassandra-all,4,26,0.06,96.2
org.jasypt:jasypt,1,26,0.06,96.2
com.google.oauth-client:google-oauth-client,1,26,0.06,96.3
org.opencastproject:opencast-kernel,2,25,0.06,96.3
com.cronutils:cron-utils,1,25,0.06,96.4
org.bouncycastle:bcprov-ext-jdk15on,2,24,0.05,96.5
org.wildfly.security:wildfly-elytron,2,24,0.05,96.5
com.squareup.okhttp3:okhttp,1,23,0.05,96.6
org.springframework.data:spring-data-commons,3,23,0.05,96.6
io.ratpack:ratpack-core,2,22,0.05,96.7
org.keycloak:keycloak-common,1,22,0.05,96.7
ro.pippo:pippo-session,2,22,0.05,96.8
org.codehaus.plexus:plexus-archiver,1,21,0.05,96.8
org.wildfly:wildfly-ee,1,21,0.05,96.9
org.apache.tapestry:tapestry-ioc,1,21,0.05,96.9
org.apache.hive:hive-jdbc,1,21,0.05,97.0
org.mortbay.jetty:jetty-util,1,21,0.05,97.0
org.apache.hive:hive-service,2,20,0.04,97.0
com.vaadin:vaadin-server,1,20,0.04,97.1
org.apache.sling:org.apache.sling.api,1,20,0.04,97.1
com.github.tomakehurst:wiremock,2,20,0.04,97.2
org.apache.wicket:wicket-extensions,1,20,0.04,97.2
com.itextpdf:itextpdf,1,20,0.04,97.2
com.sun.jersey:jersey-core,1,19,0.04,97.3
org.springframework.ldap:spring-ldap-core,1,19,0.04,97.3
cn.hutool:hutool-core,1,19,0.04,97.4
io.undertow:undertow-servlet,1,19,0.04,97.4
org.infinispan:infinispan-core,1,18,0.04,97.4
org.apache.activemq:activemq-client,5,18,0.04,97.5
org.apache.tomcat:tomcat-util,2,17,0.04,97.5
org.apache.lucene:lucene-queryparser,1,17,0.04,97.6
org.springframework:spring-messaging,3,16,0.04,97.6
org.glassfish.jersey.core:jersey-common,1,16,0.04,97.7
org.apache.oozie:oozie-core,2,16,0.04,97.7
io.fabric8:kubernetes-client,1,16,0.04,97.7
org.wildfly:wildfly-undertow,2,16,0.04,97.8
io.netty:netty-all,2,16,0.04,97.8
com.linecorp.armeria:armeria,2,16,0.04,97.9
org.keycloak:keycloak-server-spi-private,1,15,0.03,97.9
org.apache.flex.blazeds:flex-messaging-core,3,15,0.03,97.9
org.mongodb:mongo-java-driver,1,15,0.03,97.9
org.springframework:spring-websocket,2,15,0.03,98.0
org.apache.zeppelin:zeppelin-zengine,2,14,0.03,98.0
org.owasp.antisamy:antisamy,2,14,0.03,98.0
com.liferay.portal:com.liferay.portal.impl,1,14,0.03,98.1
org.apache.tomcat:jasper,1,13,0.03,98.1
org.onosproject:onos-core-common,1,13,0.03,98.1
org.jodd:jodd-json,1,12,0.03,98.2
net.sourceforge.htmlunit:htmlunit,1,12,0.03,98.2
org.jasig.cas.client:cas-client-core,1,12,0.03,98.2
org.apache.tomcat.embed:tomcat-embed-core,2,12,0.03,98.2
org.keycloak:keycloak-saml-core,2,12,0.03,98.3
com.liferay:com.liferay.dynamic.data.mapping.service,1,12,0.03,98.3
org.apache.hbase:hbase-client,1,11,0.02,98.3
org.zeroturnaround:zt-zip,1,11,0.02,98.3
org.eclipse.jetty:jetty-servlets,2,11,0.02,98.4
org.apache.tomee:openejb-core,1,11,0.02,98.4
org.springframework.social:spring-social-core,1,10,0.02,98.4
org.codelibs.fess:fess,1,10,0.02,98.4
org.apache.tomcat:tomcat-jasper,2,10,0.02,98.4
org.apache.jmeter:ApacheJMeter_core,2,10,0.02,98.5
io.projectreactor.netty:reactor-netty,1,10,0.02,98.5
io.swagger:swagger-parser,1,9,0.02,98.5
org.apache.sling:org.apache.sling.auth.core,2,9,0.02,98.5
org.apache.ant:ant,1,9,0.02,98.5
com.unboundid:unboundid-ldapsdk,1,9,0.02,98.6
org.fusesource.mqtt-client:mqtt-client,1,9,0.02,98.6
org.springframework.cloud:spring-cloud-config-client,1,9,0.02,98.6
org.primefaces:primefaces,1,9,0.02,98.6
com.neovisionaries:nv-websocket-client,1,9,0.02,98.6
org.bouncycastle:bcprov-jdk14,1,8,0.02,98.7
org.springframework.security:spring-security-oauth2-jose,1,8,0.02,98.7
org.glassfish:jakarta.faces,2,8,0.02,98.7
io.hawt:hawtio-system,4,8,0.02,98.7
com.itextpdf:io,2,8,0.02,98.7
com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,1,7,0.02,98.8
org.springframework.webflow:spring-webflow,1,7,0.02,98.8
org.apereo.cas:cas-server-support-otp-mfa,1,7,0.02,98.8
org.apache.xmlgraphics:xmlgraphics-commons,1,7,0.02,98.8
io.micronaut:micronaut-core,1,7,0.02,98.8
com.orientechnologies:orientdb-core,1,7,0.02,98.9
org.springframework.cloud:spring-cloud-config-server,2,7,0.02,98.9
org.apache.calcite:calcite-core,1,7,0.02,98.9
com.typesafe.play:filters-helpers_2.12,1,7,0.02,98.9
org.apache.activemq:artemis-core-client,1,6,0.01,98.9
org.apache.activemq:activemq-jaas,2,6,0.01,98.9
org.apache.nifi:nifi-framework-api,1,6,0.01,98.9
org.apache.flink:flink-metrics-jmx_2.11,1,6,0.01,99.0
com.mikesamuel:json-sanitizer,2,6,0.01,99.0
org.jgroups:jgroups,2,6,0.01,99.0
com.itextpdf:kernel,1,6,0.01,99.0
org.apache.juddi:juddi-client,1,6,0.01,99.0
com.google.crypto.tink:tink,1,6,0.01,99.0
com.manydesigns:portofino-core,1,6,0.01,99.0
org.springframework.integration:spring-integration-core,1,5,0.01,99.0
org.eclipse.rdf4j:rdf4j-util,1,5,0.01,99.0
com.monitorjbl:xlsx-streamer,1,5,0.01,99.1
org.bedework:bw-webdav,1,5,0.01,99.1
org.glassfish:javax.faces,1,5,0.01,99.1
org.jboss.resteasy:resteasy-jaxb-provider,1,5,0.01,99.1
org.infinispan:infinispan-client-hotrod,1,5,0.01,99.1
org.springframework.batch:spring-batch-infrastructure,1,5,0.01,99.1
org.apache.opennlp:opennlp-tools,1,5,0.01,99.1
org.apache.any23:apache-any23-core,1,5,0.01,99.1
org.apache.cxf:cxf-rt-management,1,5,0.01,99.1
cn.hutool:hutool-http,1,5,0.01,99.1
org.apache.camel:camel-main,1,5,0.01,99.2
org.apache.velocity.tools:velocity-tools-view,1,5,0.01,99.2
org.keycloak:keycloak-spring-security-adapter,1,5,0.01,99.2
org.springframework.batch:spring-batch-core,1,5,0.01,99.2
org.springframework.cloud:spring-cloud-netflix-zuul,1,5,0.01,99.2
org.apache.activemq:artemis-openwire-protocol,1,5,0.01,99.2
org.apache.wicket:wicket-util,1,5,0.01,99.2
org.infinispan:infinispan-spring5-common,1,4,0.01,99.2
org.apache.jackrabbit:jackrabbit-webdav,2,4,0.01,99.2
ca.uhn.hapi.fhir:hapi-fhir-testpage-overlay,1,4,0.01,99.2
org.esigate:esigate-core,1,4,0.01,99.3
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xerces,1,4,0.01,99.3
io.dropwizard:dropwizard-validation,2,4,0.01,99.3
org.wildfly.core:wildfly-host-controller,2,4,0.01,99.3
io.atomix:atomix,1,4,0.01,99.3
io.atomix:atomix-raft,1,4,0.01,99.3
org.apache.nifi:nifi-framework-core,4,4,0.01,99.3
org.igniterealtime.openfire:xmppserver,2,4,0.01,99.3
org.neo4j.procedure:apoc,1,4,0.01,99.3
org.springframework.amqp:spring-amqp,3,4,0.01,99.3
org.apache.olingo:odata-server-core,1,4,0.01,99.4
org.apache.nifi:nifi-socket-utils,1,4,0.01,99.4
com.liferay.portal:portal-impl,2,4,0.01,99.4
org.apache.sling:org.apache.sling.xss,2,4,0.01,99.4
org.eclipse.rdf4j:rdf4j-rio-trix,1,4,0.01,99.4
io.ratpack:ratpack-session,1,4,0.01,99.4
org.apache.activemq:artemis-server,2,4,0.01,99.4
net.sourceforge.pmd:pmd-core,1,4,0.01,99.4
com.puppycrawl.tools:checkstyle,1,4,0.01,99.4
org.cloudfoundry.identity:cloudfoundry-identity-scim,2,4,0.01,99.4
org.apache.camel:camel-mail,1,4,0.01,99.5
org.keycloak:keycloak-authz-client,1,4,0.01,99.5
org.jboss.remoting3:jboss-remoting,1,4,0.01,99.5
org.apache.tomcat:coyote,1,4,0.01,99.5
org.apache.cayenne:cayenne-server,2,4,0.01,99.5
org.apache.myfaces.core:myfaces-api,1,4,0.01,99.5
org.apache.cxf:cxf-api,1,4,0.01,99.5
org.apache.cxf:cxf-rt-rs-json-basic,1,4,0.01,99.5
com.amazonaws:aws-encryption-sdk-java,1,3,0.01,99.5
org.owasp:dependency-check-core,1,3,0.01,99.5
org.mortbay.jetty:jetty,1,3,0.01,99.6
com.liferay.portal:com.liferay.portal.kernel,1,3,0.01,99.6
org.kohsuke:libpam4j,1,3,0.01,99.6
org.springframework.amqp:spring-rabbit,1,3,0.01,99.6
org.onosproject:onos-ovsdb-rfc,1,3,0.01,99.6
org.mitre:openid-connect-server,1,3,0.01,99.6
org.jboss.resteasy:resteasy-core,1,3,0.01,99.6
com.linecorp.centraldogma:centraldogma-server,1,3,0.01,99.6
org.torpedoquery:org.torpedoquery,1,3,0.01,99.6
org.apache.cxf:cxf-core,2,3,0.01,99.6
org.dashbuilder:dashbuilder-dataset-sql,1,3,0.01,99.7
org.apache.parquet:parquet-format-structures,1,3,0.01,99.7
org.apache.kafka:connect-runtime,1,3,0.01,99.7
org.apache.ignite:ignite-indexing,1,3,0.01,99.7
org.apache.hadoop:hadoop-hdfs-client,1,3,0.01,99.7
org.apache.dubbo:dubbo-common,1,3,0.01,99.7
org.wildfly:wildfly-iiop-openjdk,1,3,0.01,99.7
org.apache.cxf:cxf-rt-rs-extension-providers,1,3,0.01,99.7
org.springframework.security:spring-security-saml2-service-provider,1,3,0.01,99.7
org.apache.zeppelin:zeppelin-interpreter,1,3,0.01,99.7
org.apache.activemq:activemq-web,3,3,0.01,99.8
net.opentsdb:opentsdb,1,3,0.01,99.8
org.eclipse.californium:scandium,1,3,0.01,99.8
org.cryptacular:cryptacular,1,2,0.0,99.8
org.jasig.cas:cas-server-core,1,2,0.0,99.8
tomcat:tomcat-coyote,1,2,0.0,99.8
org.opencastproject:opencast-authorization-xacml,1,2,0.0,99.8
org.apache.rocketmq:rocketmq-broker,1,2,0.0,99.8
org.apache.qpid:proton-j,1,2,0.0,99.8
com.ctrip.framework.apollo:apollo-core,1,2,0.0,99.8
com.sun.woodstock:webui-jsf,1,2,0.0,99.8
org.apache.jackrabbit:oak-core,1,2,0.0,99.8
org.springframework.cloud:spring-cloud-netflix-hystrix-dashboard,2,2,0.0,99.8
org.eclipse.jetty:jetty-deploy,1,2,0.0,99.8
org.picketbox:jbosssx-bare,1,2,0.0,99.8
com.starkbank.ellipticcurve:starkbank-ecdsa,1,2,0.0,99.8
org.apache.orc:orc-core,1,2,0.0,99.8
ch.acra:acra,1,2,0.0,99.8
org.apache.openjpa:openjpa-kernel,1,2,0.0,99.8
org.apache.nifi:nifi-web-api,2,2,0.0,99.8
org.apache.myfaces.core:myfaces-impl,1,2,0.0,99.8
org.springframework.security:spring-security-cas,1,2,0.0,99.8
com.inversoft:prime-jwt,2,2,0.0,99.8
org.apache.sling:org.apache.sling.servlets.post,2,2,0.0,99.8
org.apache.tomcat:tomcat-websocket,1,2,0.0,99.8
net.sf.mpxj:mpxj,1,2,0.0,99.8
org.bouncycastle:bctls-jdk15on,1,2,0.0,99.8
io.micronaut:micronaut-http-netty,1,2,0.0,99.8
org.jruby.jcodings:jcodings,1,2,0.0,99.8
org.fusesource.hawtjni:hawtjni-runtime,1,2,0.0,99.8
org.kohsuke.stapler:stapler,1,2,0.0,99.8
org.neo4j.app:neo4j-server,1,2,0.0,99.8
org.jboss.ironjacamar:ironjacamar-deployers-common,1,2,0.0,99.8
org.apache.camel:camel-jackson,1,2,0.0,99.8
org.wso2.transport.http:org.wso2.transport.http.netty,1,2,0.0,99.8
tomcat:tomcat-http11,1,2,0.0,99.8
com.vaadin:vaadin-compatibility-server,1,2,0.0,99.8
org.apache.cxf:cxf-rt-rs-security-oauth2,2,2,0.0,99.8
org.wildfly:wildfly-naming-client,1,2,0.0,99.8
org.igniterealtime.smack:smack-tcp,1,2,0.0,99.8
org.springframework.cloud:spring-cloud-gateway-server,1,1,0.0,99.8
org.uberfire:uberfire-server,1,1,0.0,99.8
