CVE_ID,dependents,upstream_GAV,severity,cvss,CWE,Link Presence,stars_count_at_commit,commits_count_at_commit,rq1_reporting,upstream_GA,rq2_class,pattern,in_analysis
CVE-2007-1358,2,tomcat:tomcat-http11:4.1.34,Low,2.6,CWE-79,contains links,0.0,236.0,Transparent,tomcat:tomcat-http11,,,False
CVE-2007-5615,3,org.mortbay.jetty:jetty:6.1.5,Medium,5.0,CWE-94,no links,0.0,3869.0,Silent,org.mortbay.jetty:jetty,,,False
CVE-2008-1947,5,org.apache.tomcat:catalina:6.0.16,Medium,4.3,CWE-79,contains links,0.0,1619.0,Transparent,org.apache.tomcat:catalina,,,False
CVE-2008-5515,19,org.apache.tomcat:catalina:6.0.18,Medium,5.0,CWE-22,contains links,0.0,2173.0,Transparent,org.apache.tomcat:catalina,,,False
CVE-2008-6505,4,org.apache.struts:struts2-core:2.1.2,Medium,5.0,CWE-22,contains links,0.0,2106.0,Transparent,org.apache.struts:struts2-core,,,False
CVE-2009-0783,19,org.apache.tomcat:catalina:6.0.18,Medium,4.6,CWE-200,contains links,0.0,1548.0,Transparent,org.apache.tomcat:catalina,,,False
CVE-2009-1523,21,org.mortbay.jetty:jetty-util:6.1.14,Medium,5.0,CWE-22,no links,0.0,7538.0,Silent,org.mortbay.jetty:jetty-util,,,False
CVE-2009-1554,2,com.sun.woodstock:webui-jsf:4.2,Medium,4.3,CWE-79,no links,0.0,14.0,Silent,com.sun.woodstock:webui-jsf,,,False
CVE-2009-2693,13,tomcat:catalina:5.5.23,Medium,5.8,CWE-22,contains links,0.0,172.0,Transparent,tomcat:catalina,,,False
CVE-2009-2901,19,org.apache.tomcat:catalina:6.0.18,Medium,4.3,CWE-264,contains links,0.0,172.0,Transparent,org.apache.tomcat:catalina,,,False
CVE-2009-2902,13,tomcat:catalina:5.5.23,Medium,4.3,CWE-22,contains links,0.0,3408.0,Transparent,tomcat:catalina,,,False
CVE-2010-1157,19,org.apache.tomcat:catalina:6.0.18,Low,2.6,CWE-200,contains links,0.0,4120.0,Transparent,org.apache.tomcat:catalina,,,False
CVE-2010-1330,2,org.jruby.jcodings:jcodings:1.0.1,Medium,4.3,CWE-79,no links,7.0,21.0,Silent,org.jruby.jcodings:jcodings,,,False
CVE-2010-1622,90,org.springframework:spring-beans:2.5.6,Medium,6.0,CWE-94,no links,0.0,3236.0,Silent,org.springframework:spring-beans,Silent,S1,True
CVE-2010-2227,4,org.apache.tomcat:coyote:6.0.18,Medium,6.4,CWE-119,contains links,0.0,4532.0,Transparent,org.apache.tomcat:coyote,,,False
CVE-2010-2232,54,org.apache.derby:derby:10.5.3.0_1,Medium,5.0,CWE-284,contains links,0.0,5517.0,Transparent,org.apache.derby:derby,,,False
CVE-2010-3718,6,org.apache.tomcat:tomcat-catalina:7.0.0,Low,1.2,,contains links,0.0,5092.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2010-4172,6,org.apache.tomcat:tomcat-catalina:7.0.0,Medium,4.3,CWE-79,contains links,0.0,5351.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2010-5327,1,com.liferay.portal:portal-impl:6.2.4,Medium,6.5,CWE-264,no links,5.0,169689.0,Silent,com.liferay.portal:portal-impl,,,False
CVE-2011-0013,6,org.apache.tomcat:tomcat-catalina:7.0.0,Medium,4.3,CWE-79,contains links,0.0,5665.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-0534,17,org.apache.tomcat:tomcat-coyote:7.0.5,Medium,5.0,CWE-399,contains links,0.0,5820.0,Transparent,org.apache.tomcat:tomcat-coyote,,,False
CVE-2011-1088,11,org.apache.tomcat.embed:tomcat-embed-core:7.0.8,Medium,5.8,,contains links,0.0,6015.0,Transparent,org.apache.tomcat.embed:tomcat-embed-core,,,False
CVE-2011-1183,4,org.apache.tomcat:tomcat-catalina:7.0.12,Medium,5.8,,contains links,0.0,6197.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-1184,3,org.apache.tomcat:tomcat-catalina:7.0.8,Medium,5.0,CWE-264,contains links,0.0,6201.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-1419,3,org.apache.tomcat:tomcat-catalina:7.0.8,Medium,5.8,,contains links,0.0,6059.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-1475,1,org.apache.tomcat:tomcat-coyote:7.0.8,Medium,5.0,CWE-20,contains links,0.0,6158.0,Transparent,org.apache.tomcat:tomcat-coyote,,,False
CVE-2011-1498,132,org.apache.httpcomponents:httpclient:4.0.1,Medium,4.3,CWE-200,contains links,22.0,1359.0,Transparent,org.apache.httpcomponents:httpclient,,,False
CVE-2011-1582,4,org.apache.tomcat:tomcat-catalina:7.0.12,Medium,4.3,CWE-264,contains links,0.0,6318.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-1772,1,org.apache.struts.xwork:xwork-core:2.2.1.1,Low,2.6,CWE-79,contains links,0.0,2703.0,Transparent,org.apache.struts.xwork:xwork-core,,,False
CVE-2011-2088,1,org.apache.struts.xwork:xwork-core:2.2.1.1,Medium,5.0,CWE-200,contains links,0.0,2703.0,Transparent,org.apache.struts.xwork:xwork-core,,,False
CVE-2011-2204,3,org.apache.tomcat:tomcat-catalina:7.0.8,Low,1.9,CWE-200,contains links,0.0,6610.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-2481,3,org.apache.tomcat:tomcat-catalina:7.0.8,Medium,4.6,,contains links,0.0,6585.0,Transparent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2011-2526,13,tomcat:catalina:5.5.23,Medium,4.4,CWE-20,contains links,0.0,6784.0,Transparent,tomcat:catalina,,,False
CVE-2011-2730,7,org.springframework:spring-web:2.5.6.SEC02,High,7.5,CWE-16,no links,658.0,4460.0,Silent,org.springframework:spring-web,,,False
CVE-2011-2731,12,org.springframework.security:spring-security-core:2.0.4,Medium,5.1,CWE-362,no links,0.0,4514.0,Silent,org.springframework.security:spring-security-core,,,False
CVE-2011-2732,12,org.springframework.security:spring-security-core:2.0.4,Medium,4.3,CWE-94,no links,0.0,4514.0,Silent,org.springframework.security:spring-security-core,,,False
CVE-2011-2894,185,org.springframework:spring-core:3.0.5.RELEASE,Medium,6.8,CWE-502,no links,653.0,4411.0,Silent,org.springframework:spring-core,Silent,S1,True
CVE-2011-3190,17,org.apache.tomcat:tomcat-coyote:7.0.5,High,7.5,CWE-264,contains links,0.0,6986.0,Transparent,org.apache.tomcat:tomcat-coyote,,,False
CVE-2011-3376,1,org.apache.tomcat.embed:tomcat-embed-core:7.0.19,Medium,4.4,CWE-264,contains links,0.0,7128.0,Transparent,org.apache.tomcat.embed:tomcat-embed-core,,,False
