CVE,pairs,exposed_past_disclosure,burden_disclosure,exposed_past_release,burden_release,median_delay_disclosure,burden_per_pair,class,pattern,severity,dependents,% of total burden
CVE-2010-1622,2,0,0.0,2,2.101377314814815,-4.355549768518518,0.0,Silent,S1,Medium,90,0.0
CVE-2011-2894,20,17,14018.868831018519,18,14817.42431712963,289.23979166666663,700.943441550926,Silent,S1,Medium,185,3.89
CVE-2012-1089,1,1,326.212337962963,1,343.84400462962964,326.212337962963,326.212337962963,Silent,S1,Medium,13,0.09
CVE-2013-2055,2,1,225.7757986111111,2,684.9808912037038,74.31332754629629,112.88789930555555,Silent,S1,Medium,14,0.06
CVE-2013-6429,19,16,15030.292465277778,19,16423.605694444446,515.8380439814815,791.0680244883041,Silent,S1,Medium,185,4.17
CVE-2013-6430,1,1,700.119386574074,1,3193.52630787037,700.119386574074,700.119386574074,Silent,S1,Low,91,0.19
CVE-2014-0054,2,1,24.73173611111111,2,103.76010416666666,-5.416452546296295,12.365868055555556,Silent,S1,Medium,21,0.01
CVE-2014-3120,8,3,126.04628472222223,7,400.8351851851852,-32.932615740740744,15.755785590277778,Transparent,T1,Medium,39,0.03
CVE-2014-3558,5,5,2676.189895833333,5,2562.6594560185185,261.8403125,535.2379791666666,Silent,S2,Medium,41,0.74
CVE-2014-3578,14,12,11136.930844907407,14,13862.825960648148,536.9187152777778,795.4950603505291,Silent,S1,Medium,185,3.09
CVE-2014-6439,7,6,551.549525462963,6,595.8179976851852,55.90386574074074,78.79278935185185,Transparent,T1,Medium,37,0.15
CVE-2014-7839,4,4,1599.427627314815,4,1137.793877314815,218.53280671296295,399.85690682870376,Silent,S3,Medium,47,0.44
CVE-2015-0263,4,4,228.9965740740741,4,580.4859259259259,42.25144675925926,57.24914351851852,Silent,S1,Medium,13,0.06
CVE-2015-0264,2,1,24.874791666666667,2,116.85351851851853,-29.445578703703703,12.437395833333333,Transparent,T1,Medium,28,0.01
CVE-2015-0886,5,5,4697.429143518519,5,4819.940023148149,1273.7681944444444,939.4858287037038,Silent,S1,Medium,96,1.3
CVE-2015-0899,2,2,2123.699131944444,2,2174.7289930555553,1061.849565972222,1061.849565972222,Silent,S1,Medium,31,0.59
CVE-2015-1427,13,13,1762.9547916666666,1,862.328599537037,44.629375,135.61190705128203,Silent,S2,High,44,0.49
CVE-2015-1776,7,7,3405.4092013888894,7,5068.236111111111,168.75822916666667,486.48702876984134,Silent,S1,Low,47,0.94
CVE-2015-3192,9,7,1773.8501851851852,9,4996.16900462963,57.87821759259259,197.09446502057614,Silent,S1,Medium,101,0.49
CVE-2015-5531,11,5,1697.634224537037,11,1921.6038773148148,-17.74451388888889,154.33038404882154,Silent,S1,Medium,44,0.47
CVE-2015-7521,3,3,2342.2594675925925,3,1922.1602662037037,718.607662037037,780.7531558641975,Transparent,T2,High,36,0.65
CVE-2015-7940,8,5,2093.981770833333,8,5531.756574074074,162.95774305555557,261.74772135416663,Silent,S1,Medium,93,0.58
CVE-2016-1000339,13,11,6615.477719907408,13,13212.982986111112,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
CVE-2016-1000341,13,11,6615.477719907408,13,13212.98298611111,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
CVE-2016-1000342,13,11,6615.477719907408,13,13212.98298611111,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
CVE-2016-1000343,13,11,6615.477719907408,13,13212.98298611111,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
CVE-2016-1000345,13,11,6615.477719907408,13,13212.982986111112,366.3257986111111,508.8829015313391,Silent,S1,Medium,155,1.83
