CVE_ID,G:A:V,downstream_GA
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms:langdetect-opencms
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.event
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.flexible
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.flower
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.infobox
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.list
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.login
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.news
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.search
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.solr
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.subscription
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.template3
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.template3.demo
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.template3.demo.shared
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.textblock
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.twitter
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.config
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.containerpage
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.contenteditor
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.editprovider
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.galleries
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.postupload
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.properties
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.publish
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.sitemap
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.upload
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo.content
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo.customwidget
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.codemirror
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.editarea
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.fckeditor
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors.tinymce
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.gwt
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.jquery
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.languagedetection
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.locale.de
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.locale.es
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.locale.it
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.locale.ru
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.welcome
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.administration
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.categories
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.explorer
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.galleries
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.handler
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.help
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.help.de
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.help.en
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.accounts
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.cache
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.content
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.database
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.galleryoverview
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.history
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.link
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.modules
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.projects
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.publishqueue
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.scheduler
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.searchindex
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.workplace.tools.workplace
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.automattic:elasticsearch-statsd
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-module-auditlog
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-module-kibana-multitenancy
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-rest-api
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:dlic-search-guard-test-framework
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:search-guard-5
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.floragunn:search-guard-ssl
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.github.cafaudit:caf-audit-binding-elasticsearch
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.github.cafaudit:caf-audit-binding-webservice
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,com.ubirch.util:elasticsearch-client-binary_2.11
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,de.julielab:elasticsearch-mapper-preanalyzed
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,info.johtani.elasticsearch.plugin.ingest:ingest-csv
