CVE,pairs,lifecycle_aware_burden,median_lifecycle_burden,burden_per_pair,class,pattern,severity,dependents,lifecycle_burden_start_event,% of total burden
CVE-2010-1622,2,2.101377314814815,1.0506886574074075,1.0506886574074075,Silent,S1,Medium,90,release,0.00039865282288234906
CVE-2011-2894,20,14817.42431712963,335.18072916666665,740.8712158564815,Silent,S1,Medium,185,release,2.811017321936707
CVE-2012-1089,1,343.84400462962964,343.84400462962964,343.84400462962964,Silent,S1,Medium,13,release,0.06523073324832818
CVE-2013-2055,2,684.9808912037038,342.4904456018519,342.4904456018519,Silent,S1,Medium,14,release,0.12994789844435345
CVE-2013-6429,19,16423.605694444446,596.3438773148148,864.4002997076025,Silent,S1,Medium,185,release,3.1157263980333236
CVE-2013-6430,1,3193.52630787037,3193.52630787037,3193.52630787037,Silent,S1,Low,91,release,0.6058446851053791
CVE-2014-0054,2,103.76010416666666,51.88005208333333,51.88005208333333,Silent,S1,Medium,21,release,0.019684355654259786
CVE-2014-3120,8,665.4701851851852,68.49927083333333,83.18377314814815,Transparent,T1,Medium,39,report,0.12624651746156906
CVE-2014-3558,5,2676.189895833333,261.8403125,535.2379791666666,Silent,S2,Medium,41,disclosure,0.5077006632848307
CVE-2014-3578,14,13862.825960648148,752.535162037037,990.2018543320106,Silent,S1,Medium,185,release,2.629920225833464
CVE-2014-6439,7,988.2981597222222,121.23302083333333,141.18545138888888,Transparent,T1,Medium,37,report,0.18749029431557127
CVE-2014-7839,4,1599.4276273148148,218.53280671296295,399.8569068287037,Silent,S3,Medium,47,disclosure,0.30342782047271644
CVE-2015-0263,4,580.4859259259259,130.12378472222224,145.12148148148148,Silent,S1,Medium,13,release,0.11012413210249102
CVE-2015-0264,2,178.49078703703702,89.24539351851851,89.24539351851851,Transparent,T1,Medium,28,report,0.033861532438346345
CVE-2015-0886,5,4819.940023148149,1298.2703703703703,963.9880046296297,Silent,S1,Medium,96,release,0.9143920431638217
