downstream_repo,pairs,late_rate
88250/latke,4,0.25
Activiti/Activiti,3,1.0
AxonFramework/AxonFramework,3,0.6666666666666666
Azure/azure-sdk-for-java,3,1.0
BroadleafCommerce/BroadleafCommerce,4,1.0
Comcast/jrugged,3,1.0
CyberSource/cybersource-sdk-java,7,1.0
DSpace/DSpace,6,1.0
DataSketches/sketches-hive,5,0.8
DigitalPebble/storm-crawler,12,1.0
Erudika/para,7,0.7142857142857143
ExpediaGroup/circus-train,3,1.0
GateNLP/gate-core,3,1.0
GoogleCloudPlatform/bigdata-interop,3,1.0
HotelsDotCom/beeju,4,1.0
ICIJ/extract,4,1.0
Impetus/fabric-jdbc-connector,3,1.0
LucidWorks/spark-solr,7,0.7142857142857143
MyCoRe-Org/mycore,3,1.0
NitorCreations/nflow,6,1.0
OpenAS2/OpenAs2App,10,1.0
Pay-Group/best-pay-sdk,3,1.0
RIPE-NCC/rpki-commons,15,0.9333333333333333
RockyLOMO/rxlib,3,1.0
SoftInstigate/restheart,6,0.6666666666666666
SonarSource/sonar-findbugs,3,1.0
SparkTC/stocator,3,1.0
Waffle/waffle,4,0.75
Xceptance/XLT,14,1.0
Zandero/rest.vertx,3,1.0
Zlika/reproducible-build-maven-plugin,3,0.6666666666666666
actframework/actframework,3,1.0
aktin/broker,3,1.0
alexcojocaru/elasticsearch-maven-plugin,4,1.0
alibaba/druid,3,1.0
annot8/annot8-components,3,1.0
anotheria/ano-util,7,1.0
anotheria/moskito,3,1.0
apache/any23,8,1.0
apache/avro,3,0.6666666666666666
apache/incubator-dubbo,3,1.0
apache/openmeetings,3,1.0
apache/reef,3,0.3333333333333333
appNG/appng,11,1.0
archiecobbs/jsimpledb,3,1.0
archivesunleashed/aut,3,1.0
arenadata/hive,3,1.0
aspectran/aspectran,5,0.0
astrapi69/mystic-crypt,9,0.2222222222222222
bedrin/kerb4j,3,1.0
bitblit/wrench,4,0.75
blossom-project/blossom,3,1.0
btc-ag/redg,5,1.0
bujiio/buji-pac4j,4,0.5
chelu/jdal,3,1.0
citrusframework/citrus,10,0.9
cloudfoundry/cf-java-client,3,0.6666666666666666
codelibs/fess-crawler,6,1.0
cose-wg/cose-java,7,1.0
dadoonet/fscrawler,3,0.3333333333333333
damiencarol/jsr203-hadoop,3,0.6666666666666666
davidkarlsen/Commons-Transaction-Spring-Integration,3,0.6666666666666666
dbmdz/digitalcollections-model,3,0.3333333333333333
dernasherbrezon/deb-maven-plugin,3,1.0
difi/sikker-digital-post-klient,10,1.0
digipost/certificate-validator,7,1.0
digipost/digipost-api-client-java,8,1.0
dkpro/dkpro-core,3,1.0
