repo,repo_url,uses_dependabot_ever,dependabot_usage_type_ever,dependabot_lifecycle,security_first_version_later_ever,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,days_security_to_version,mined_at_utc
42BV/jarb,https://github.com/42BV/jarb,True,security_updates_only,security_only_ever,False,True,2020-01-21T21:11:51Z,https://github.com/42BV/jarb/pull/53,53.0,dependabot,Bump spring.version from 5.1.3.RELEASE to 5.2.3.RELEASE,False,,,,,,2026-08-14T17:00:36.520962+00:00
52North/arctic-sea,https://github.com/52North/arctic-sea,True,both_security_and_version_updates,security_then_version,True,True,2019-08-01T21:59:32Z,https://github.com/52North/arctic-sea/pull/47,47.0,dependabot,Bump version.jackson from 2.9.9 to 2.10.0.pr1,True,.github/dependabot.yml,2021-04-29T15:25:46Z,fe7416a0a9a56c960616fe58de41f1e5b0e19049,https://github.com/52North/arctic-sea/commit/fe7416a0a9a56c960616fe58de41f1e5b0e19049,636.726550925926,2026-08-14T17:00:42.593324+00:00
52North/series-hibernate,https://github.com/52North/series-hibernate,True,version_updates_config_only,version_config_only_ever,False,False,,,,,,True,.github/dependabot.yml,2021-04-29T15:25:57Z,924fab33f054d8521a2e2ade95609ec9f0aba51b,https://github.com/52North/sensorweb-server-db-model/commit/924fab33f054d8521a2e2ade95609ec9f0aba51b,,2026-08-14T17:00:50.205286+00:00
6tail/nlf2-maven,https://github.com/6tail/nlf2-maven,True,security_updates_only,security_only_ever,False,True,2019-10-29T21:06:00Z,https://github.com/6tail/nlf2-maven/pull/1,1.0,dependabot,Bump c3p0 from 0.9.5.2 to 0.9.5.4 in /nlf2-plugin-c3p0,False,,,,,,2026-08-14T17:00:59.268097+00:00
88250/latke,https://github.com/88250/latke,True,security_updates_only,security_only_ever,False,True,2021-02-08T21:25:30Z,https://github.com/88250/latke/pull/37,37.0,dependabot,⬆️ Bump netty.version from 4.1.49.Final to 4.1.59.Final,False,,,,,,2026-08-14T17:01:06.101623+00:00
AKSW/jena-sparql-api,https://github.com/AKSW/jena-sparql-api,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T17:01:12.368343+00:00
Activiti/Activiti,https://github.com/Activiti/Activiti,True,both_security_and_version_updates,security_then_version,True,True,2020-01-26T14:06:00Z,https://github.com/Activiti/Activiti/pull/3100,3100.0,dependabot-preview,Bump batik.version from 1.10 to 1.12,True,.github/dependabot.yml,2021-01-19T17:59:56Z,e021dd1fe29bda212a9f95c14679a3011744edcd,https://github.com/Activiti/Activiti/commit/e021dd1fe29bda212a9f95c14679a3011744edcd,359.1624537037037,2026-08-14T17:01:21.642048+00:00
AlejandroRivera/embedded-rabbitmq,https://github.com/AlejandroRivera/embedded-rabbitmq,True,security_updates_only,security_only_ever,False,True,2019-11-02T17:43:58Z,https://github.com/AlejandroRivera/embedded-rabbitmq/pull/56,56.0,dependabot,Bump checkstyle from 6.19 to 8.18,False,,,,,,2026-08-14T17:01:29.552808+00:00
AmyAssist/Amy,https://github.com/AmyAssist/Amy,True,security_updates_only,security_only_ever,False,True,2019-09-17T22:49:15Z,https://github.com/AmyAssist/Amy/pull/550,550.0,dependabot,Bump org.eclipse.paho.client.mqttv3 from 1.2.0 to 1.2.1 in /amy-message-hub,False,,,,,,2026-08-14T17:01:35.317364+00:00
AquaticInformatics/aquarius-sdk-java,https://github.com/AquaticInformatics/aquarius-sdk-java,True,security_updates_only,security_only_ever,False,True,2020-10-13T09:33:05Z,https://github.com/AquaticInformatics/aquarius-sdk-java/pull/132,132.0,dependabot,Bump junit from 4.12 to 4.13.1,False,,,,,,2026-08-14T17:01:42.257763+00:00
ArcBees/GWTP,https://github.com/ArcBees/GWTP,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T17:01:48.644191+00:00
ArcadeData/arcade-connectors,https://github.com/ArcadeData/arcade-connectors,True,both_security_and_version_updates,security_then_version,True,True,2019-02-18T21:16:18Z,https://github.com/ArcadeData/arcade-connectors/pull/1,1.0,dependabot-preview,Bump orientdb-gremlin from 3.0.13 to 3.0.15,True,.github/dependabot.yml,2020-09-19T10:58:19Z,93f93acab75d87fdb4f2cff63945cda567ff3d58,https://github.com/ArcadeData/arcade-connectors/commit/93f93acab75d87fdb4f2cff63945cda567ff3d58,578.5708449074074,2026-08-14T17:01:54.325446+00:00
