repo,repo_url,mined_at_utc,mining_status,error_type,error_message,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,first_dependabot_pr_query_author,dependabot_pr_search_queries,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,dependabot_config_created_message
42BV/jarb,https://github.com/42BV/jarb,2026-08-14T17:00:36.520962+00:00,ok,,,True,2020-01-21T21:11:51Z,https://github.com/42BV/jarb/pull/53,53,dependabot,Bump spring.version from 5.1.3.RELEASE to 5.2.3.RELEASE,app/dependabot,repo:42BV/jarb is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:42BV/jarb is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:42BV/jarb is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:42BV/jarb is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
52North/arctic-sea,https://github.com/52North/arctic-sea,2026-08-14T17:00:42.593324+00:00,ok,,,True,2019-08-01T21:59:32Z,https://github.com/52North/arctic-sea/pull/47,47,dependabot,Bump version.jackson from 2.9.9 to 2.10.0.pr1,app/dependabot,repo:52North/arctic-sea is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:52North/arctic-sea is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:52North/arctic-sea is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:52North/arctic-sea is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-04-29T15:25:46Z,fe7416a0a9a56c960616fe58de41f1e5b0e19049,https://github.com/52North/arctic-sea/commit/fe7416a0a9a56c960616fe58de41f1e5b0e19049,Upgrade to GitHub-native Dependabot
52North/series-hibernate,https://github.com/52North/series-hibernate,2026-08-14T17:00:50.205286+00:00,ok,,,False,,,,,,,repo:52North/series-hibernate is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:52North/series-hibernate is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:52North/series-hibernate is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:52North/series-hibernate is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-04-29T15:25:57Z,924fab33f054d8521a2e2ade95609ec9f0aba51b,https://github.com/52North/sensorweb-server-db-model/commit/924fab33f054d8521a2e2ade95609ec9f0aba51b,Upgrade to GitHub-native Dependabot
6tail/nlf2-maven,https://github.com/6tail/nlf2-maven,2026-08-14T17:00:59.268097+00:00,ok,,,True,2019-10-29T21:06:00Z,https://github.com/6tail/nlf2-maven/pull/1,1,dependabot,Bump c3p0 from 0.9.5.2 to 0.9.5.4 in /nlf2-plugin-c3p0,app/dependabot,repo:6tail/nlf2-maven is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:6tail/nlf2-maven is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:6tail/nlf2-maven is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:6tail/nlf2-maven is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
88250/latke,https://github.com/88250/latke,2026-08-14T17:01:06.101623+00:00,ok,,,True,2021-02-08T21:25:30Z,https://github.com/88250/latke/pull/37,37,dependabot,⬆️ Bump netty.version from 4.1.49.Final to 4.1.59.Final,app/dependabot,repo:88250/latke is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:88250/latke is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:88250/latke is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:88250/latke is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AKSW/jena-sparql-api,https://github.com/AKSW/jena-sparql-api,2026-08-14T17:01:12.368343+00:00,ok,,,False,,,,,,,repo:AKSW/jena-sparql-api is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AKSW/jena-sparql-api is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AKSW/jena-sparql-api is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AKSW/jena-sparql-api is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
Activiti/Activiti,https://github.com/Activiti/Activiti,2026-08-14T17:01:21.642048+00:00,ok,,,True,2020-01-26T14:06:00Z,https://github.com/Activiti/Activiti/pull/3100,3100,dependabot-preview,Bump batik.version from 1.10 to 1.12,app/dependabot-preview,repo:Activiti/Activiti is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:Activiti/Activiti is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:Activiti/Activiti is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:Activiti/Activiti is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2021-01-19T17:59:56Z,e021dd1fe29bda212a9f95c14679a3011744edcd,https://github.com/Activiti/Activiti/commit/e021dd1fe29bda212a9f95c14679a3011744edcd,Create dependabot.yml
AlejandroRivera/embedded-rabbitmq,https://github.com/AlejandroRivera/embedded-rabbitmq,2026-08-14T17:01:29.552808+00:00,ok,,,True,2019-11-02T17:43:58Z,https://github.com/AlejandroRivera/embedded-rabbitmq/pull/56,56,dependabot,Bump checkstyle from 6.19 to 8.18,app/dependabot,repo:AlejandroRivera/embedded-rabbitmq is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AlejandroRivera/embedded-rabbitmq is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AlejandroRivera/embedded-rabbitmq is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AlejandroRivera/embedded-rabbitmq is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AmyAssist/Amy,https://github.com/AmyAssist/Amy,2026-08-14T17:01:35.317364+00:00,ok,,,True,2019-09-17T22:49:15Z,https://github.com/AmyAssist/Amy/pull/550,550,dependabot,Bump org.eclipse.paho.client.mqttv3 from 1.2.0 to 1.2.1 in /amy-message-hub,app/dependabot,repo:AmyAssist/Amy is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AmyAssist/Amy is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AmyAssist/Amy is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AmyAssist/Amy is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
AquaticInformatics/aquarius-sdk-java,https://github.com/AquaticInformatics/aquarius-sdk-java,2026-08-14T17:01:42.257763+00:00,ok,,,True,2020-10-13T09:33:05Z,https://github.com/AquaticInformatics/aquarius-sdk-java/pull/132,132,dependabot,Bump junit from 4.12 to 4.13.1,app/dependabot,repo:AquaticInformatics/aquarius-sdk-java is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AquaticInformatics/aquarius-sdk-java is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AquaticInformatics/aquarius-sdk-java is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AquaticInformatics/aquarius-sdk-java is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
ArcBees/GWTP,https://github.com/ArcBees/GWTP,2026-08-14T17:01:48.644191+00:00,ok,,,False,,,,,,,repo:ArcBees/GWTP is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:ArcBees/GWTP is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:ArcBees/GWTP is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:ArcBees/GWTP is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
ArcadeData/arcade-connectors,https://github.com/ArcadeData/arcade-connectors,2026-08-14T17:01:54.325446+00:00,ok,,,True,2019-02-18T21:16:18Z,https://github.com/ArcadeData/arcade-connectors/pull/1,1,dependabot-preview,Bump orientdb-gremlin from 3.0.13 to 3.0.15,app/dependabot-preview,repo:ArcadeData/arcade-connectors is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:ArcadeData/arcade-connectors is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:ArcadeData/arcade-connectors is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:ArcadeData/arcade-connectors is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2020-09-19T10:58:19Z,93f93acab75d87fdb4f2cff63945cda567ff3d58,https://github.com/ArcadeData/arcade-connectors/commit/93f93acab75d87fdb4f2cff63945cda567ff3d58,"adds codacy coverage report
adds dependabot.yml for pom and action"
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,2026-08-14T17:02:01.541124+00:00,ok,,,True,2023-03-06T09:22:14Z,https://github.com/AsyncHttpClient/async-http-client/pull/1854,1854,dependabot,Bump commons-fileupload from 1.4 to 1.5 in /client,app/dependabot,repo:AsyncHttpClient/async-http-client is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AsyncHttpClient/async-http-client is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AsyncHttpClient/async-http-client is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AsyncHttpClient/async-http-client is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2024-08-21T17:07:31Z,fca9c6732838b3817a5ecca2b0aadcd6a62bd385,https://github.com/AsyncHttpClient/async-http-client/commit/fca9c6732838b3817a5ecca2b0aadcd6a62bd385,Enable Dependabot (#1975)
AthenZ/athenz,https://github.com/AthenZ/athenz,2026-08-14T17:02:09.030092+00:00,ok,,,True,2019-11-13T07:59:41Z,https://github.com/AthenZ/athenz/pull/817,817,dependabot,Bump jackson-databind from 2.9.9.3 to 2.9.10.1 in /examples/java/instance-provider/provider,app/dependabot,repo:AthenZ/athenz is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:AthenZ/athenz is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:AthenZ/athenz is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:AthenZ/athenz is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
