repo,repo_url,mined_at_utc,mining_status,error_type,error_message
42BV/jarb,https://github.com/42BV/jarb,2026-08-14T16:55:34.850082+00:00,error,HTTPError,HTTP Error 401: Unauthorized
52North/arctic-sea,https://github.com/52North/arctic-sea,2026-08-14T16:55:35.068779+00:00,error,HTTPError,HTTP Error 401: Unauthorized
52North/series-hibernate,https://github.com/52North/series-hibernate,2026-08-14T16:55:35.384423+00:00,error,HTTPError,HTTP Error 401: Unauthorized
6tail/nlf2-maven,https://github.com/6tail/nlf2-maven,2026-08-14T16:55:35.636576+00:00,error,HTTPError,HTTP Error 401: Unauthorized
88250/latke,https://github.com/88250/latke,2026-08-14T16:55:35.826828+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AKSW/jena-sparql-api,https://github.com/AKSW/jena-sparql-api,2026-08-14T16:55:35.987745+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Activiti/Activiti,https://github.com/Activiti/Activiti,2026-08-14T16:55:36.220484+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AlejandroRivera/embedded-rabbitmq,https://github.com/AlejandroRivera/embedded-rabbitmq,2026-08-14T16:55:36.385977+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AmyAssist/Amy,https://github.com/AmyAssist/Amy,2026-08-14T16:55:36.549921+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AquaticInformatics/aquarius-sdk-java,https://github.com/AquaticInformatics/aquarius-sdk-java,2026-08-14T16:55:36.801121+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ArcBees/GWTP,https://github.com/ArcBees/GWTP,2026-08-14T16:55:36.966596+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ArcadeData/arcade-connectors,https://github.com/ArcadeData/arcade-connectors,2026-08-14T16:55:37.236118+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,2026-08-14T16:55:37.401922+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AthenZ/athenz,https://github.com/AthenZ/athenz,2026-08-14T16:55:37.691539+00:00,error,HTTPError,HTTP Error 401: Unauthorized
AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework,2026-08-14T16:55:38.021667+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Axway/ats-framework,https://github.com/Axway/ats-framework,2026-08-14T16:55:38.390534+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,2026-08-14T16:55:39.012480+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Baidu-ecom/Jprotobuf-rpc-socket,https://github.com/Baidu-ecom/Jprotobuf-rpc-socket,2026-08-14T16:55:39.261599+00:00,error,HTTPError,HTTP Error 401: Unauthorized
BaseXdb/basex,https://github.com/BaseXdb/basex,2026-08-14T16:55:39.671353+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Bedework/bw-calendar-engine,https://github.com/Bedework/bw-calendar-engine,2026-08-14T16:55:40.012260+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Bedework/bw-event-registration,https://github.com/Bedework/bw-event-registration,2026-08-14T16:55:40.202528+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Bedework/bw-synch,https://github.com/Bedework/bw-synch,2026-08-14T16:55:40.665426+00:00,error,HTTPError,HTTP Error 401: Unauthorized
BroadleafCommerce/BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce,2026-08-14T16:55:41.014401+00:00,error,HTTPError,HTTP Error 401: Unauthorized
BrunoEberhard/minimal-j,https://github.com/BrunoEberhard/minimal-j,2026-08-14T16:55:41.195566+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Bynder/bynder-java-sdk,https://github.com/Bynder/bynder-java-sdk,2026-08-14T16:55:41.537662+00:00,error,HTTPError,HTTP Error 401: Unauthorized
CAFAudit/audit-service,https://github.com/CAFAudit/audit-service,2026-08-14T16:55:41.886189+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Captain-P-Goldfish/SCIM,https://github.com/Captain-P-Goldfish/SCIM,2026-08-14T16:55:42.164033+00:00,error,HTTPError,HTTP Error 401: Unauthorized
CloudSlang/cloud-slang,https://github.com/CloudSlang/cloud-slang,2026-08-14T16:55:42.409080+00:00,error,HTTPError,HTTP Error 401: Unauthorized
CloudSlang/cs-actions,https://github.com/CloudSlang/cs-actions,2026-08-14T16:55:42.813655+00:00,error,HTTPError,HTTP Error 401: Unauthorized
CloudSlang/score,https://github.com/CloudSlang/score,2026-08-14T16:55:43.163632+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Comcast/jrugged,https://github.com/Comcast/jrugged,2026-08-14T16:55:43.348421+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ConsumerDataStandardsAustralia/java-artefacts,https://github.com/ConsumerDataStandardsAustralia/java-artefacts,2026-08-14T16:55:43.561311+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Contrast-Security-OSS/contrast-maven-plugin,https://github.com/Contrast-Security-OSS/contrast-maven-plugin,2026-08-14T16:55:43.744629+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Coreoz/Wisp,https://github.com/Coreoz/Wisp,2026-08-14T16:55:43.980743+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Crim/pardot-java-client,https://github.com/Crim/pardot-java-client,2026-08-14T16:55:44.154325+00:00,error,HTTPError,HTTP Error 401: Unauthorized
CyberSource/cybersource-sdk-java,https://github.com/CyberSource/cybersource-sdk-java,2026-08-14T16:55:44.401309+00:00,error,HTTPError,HTTP Error 401: Unauthorized
CycloneDX/cyclonedx-core-java,https://github.com/CycloneDX/cyclonedx-core-java,2026-08-14T16:55:44.606094+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DDTH/ddth-commons,https://github.com/DDTH/ddth-commons,2026-08-14T16:55:44.762835+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DSpace/DSpace,https://github.com/DSpace/DSpace,2026-08-14T16:55:44.927434+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DataSketches/sketches-hive,https://github.com/DataSketches/sketches-hive,2026-08-14T16:55:45.180243+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DataSketches/sketches-pig,https://github.com/DataSketches/sketches-pig,2026-08-14T16:55:45.352370+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DataSystemsLab/GeoSpark,https://github.com/DataSystemsLab/GeoSpark,2026-08-14T16:55:45.554179+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DigitalPebble/storm-crawler,https://github.com/DigitalPebble/storm-crawler,2026-08-14T16:55:45.712985+00:00,error,HTTPError,HTTP Error 401: Unauthorized
DisneyStudios/cucumber-slices-maven-plugin,https://github.com/DisneyStudios/cucumber-slices-maven-plugin,2026-08-14T16:55:45.875099+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Dreamroute/locker,https://github.com/Dreamroute/locker,2026-08-14T16:55:46.119955+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Erudika/para,https://github.com/Erudika/para,2026-08-14T16:55:46.282720+00:00,error,HTTPError,HTTP Error 401: Unauthorized
EvoSuite/evosuite,https://github.com/EvoSuite/evosuite,2026-08-14T16:55:46.440464+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ExpediaGroup/circus-train,https://github.com/ExpediaGroup/circus-train,2026-08-14T16:55:46.656366+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ExpediaGroup/waggle-dance,https://github.com/ExpediaGroup/waggle-dance,2026-08-14T16:55:46.813311+00:00,error,HTTPError,HTTP Error 401: Unauthorized
FelixGail/gplaymusic,https://github.com/FelixGail/gplaymusic,2026-08-14T16:55:47.001359+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GSI-CS-CO/chart-fx,https://github.com/GSI-CS-CO/chart-fx,2026-08-14T16:55:47.251998+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GateNLP/gate-core,https://github.com/GateNLP/gate-core,2026-08-14T16:55:47.410263+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GeoDienstenCentrum/schemaspy-maven-plugin,https://github.com/GeoDienstenCentrum/schemaspy-maven-plugin,2026-08-14T16:55:47.650629+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GojaFramework/goja,https://github.com/GojaFramework/goja,2026-08-14T16:55:47.828670+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GoogleCloudPlatform/bigdata-interop,https://github.com/GoogleCloudPlatform/bigdata-interop,2026-08-14T16:55:47.998470+00:00,error,HTTPError,HTTP Error 401: Unauthorized
GraphWalker/graphwalker-project,https://github.com/GraphWalker/graphwalker-project,2026-08-14T16:55:48.221913+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,2026-08-14T16:55:48.405433+00:00,error,HTTPError,HTTP Error 401: Unauthorized
